,CPUPAXFE Index_ratio
10797,1023.6637440172208
10798,1023.6637440172208
10799,1023.6637440172208
10800,1023.6637440172208
10801,1023.6637440172208
10802,1023.6637440172208
10803,1023.6637440172208
10804,1023.6637440172208
10805,1023.6637440172208
10806,1023.6637440172208
10807,1023.6637440172208
10808,1023.6637440172208
10809,1023.6637440172208
10810,1023.6637440172208
10811,1023.6637440172208
10812,1023.6637440172208
10813,1023.6637440172208
10814,1023.6637440172208
10815,1023.6637440172208
10816,1023.6637440172208
10817,1023.6637440172208
10818,1023.6637440172208
10819,1023.6637440172208
10820,1023.6637440172208
10821,1023.6637440172208
10822,1023.6637440172208
10823,1023.6637440172208
10824,1023.6637440172208
10825,1023.6637440172208
10826,1023.6637440172208
10827,1023.6637440172208
10828,1023.6637440172208
10829,1023.6637440172208
10830,1023.6637440172208
10831,1023.6637440172208
10832,1023.6637440172208
10833,1023.6637440172208
10834,1023.6637440172208
10835,1023.6637440172208
10836,1023.6637440172208
10837,1023.6637440172208
10838,1023.6637440172208
10839,1023.6637440172208
10840,1023.6637440172208
10841,1023.6637440172208
10842,1023.6637440172208
10843,1023.6637440172208
10844,1023.6637440172208
10845,1023.6637440172208
10846,1023.6637440172208
10847,1023.6637440172208
10848,1023.6637440172208
10849,1023.6637440172208
10850,1023.6637440172208
10851,1023.6637440172208
10852,1023.6637440172208
10853,1023.6637440172208
10854,1023.6637440172208
10855,1023.6637440172208
10856,1023.6637440172208
10857,1023.6637440172208
10858,1023.6637440172208
10859,1023.6637440172208
10860,1023.6637440172208
10861,1023.6637440172208
10862,1023.6637440172208
10863,1023.6637440172208
10864,1028.8876808311436
10865,1028.8876808311436
10866,1028.8876808311436
10867,1028.8876808311436
10868,1028.8876808311436
10869,1028.8876808311436
10870,1028.8876808311436
10871,1028.8876808311436
10872,1028.8876808311436
10873,1028.8876808311436
10874,1028.8876808311436
10875,1028.8876808311436
10876,1028.8876808311436
10877,1028.8876808311436
10878,1028.8876808311436
10879,1028.8876808311436
10880,1028.8876808311436
10881,1028.8876808311436
10882,1028.8876808311436
10883,1028.8876808311436
10884,1028.8876808311436
10885,1028.8876808311436
10886,1028.8876808311436
10887,1028.8876808311436
10888,1028.8876808311436
10889,1028.8876808311436
10890,1028.8876808311436
10891,1028.8876808311436
10892,1028.8876808311436
10893,1028.8876808311436
10894,1028.8876808311436
10895,1028.8876808311436
10896,1028.8876808311436
10897,1028.8876808311436
10898,1028.8876808311436
10899,1028.8876808311436
10900,1028.8876808311436
10901,1028.8876808311436
10902,1028.8876808311436
10903,1028.8876808311436
10904,1028.8876808311436
10905,1028.8876808311436
10906,1028.8876808311436
10907,1028.8876808311436
10908,1028.8876808311436
10909,1028.8876808311436
10910,1028.8876808311436
10911,1028.8876808311436
10912,1028.8876808311436
10913,1028.8876808311436
10914,1028.8876808311436
10915,1028.8876808311436
10916,1028.8876808311436
10917,1028.8876808311436
10918,1028.8876808311436
10919,1028.8876808311436
10920,1028.8876808311436
10921,1028.8876808311436
10922,1028.8876808311436
10923,1028.8876808311436
10924,1028.8876808311436
10925,1028.8876808311436
10926,1028.8876808311436
10927,1028.8876808311436
10928,1028.8876808311436
10929,1028.8876808311436
10930,1028.8876808311436
10931,1028.8876808311436
10932,1028.8876808311436
10933,1028.8876808311436
10934,1028.8876808311436
10935,1028.8876808311436
10936,1028.8876808311436
10937,1028.8876808311436
10938,1028.8876808311436
10939,1028.8876808311436
10940,1028.8876808311436
10941,1028.8876808311436
10942,1028.8876808311436
10943,1028.8876808311436
10944,1028.8876808311436
10945,1028.8876808311436
10946,1028.8876808311436
10947,1028.8876808311436
10948,1028.8876808311436
10949,1028.8876808311436
10950,1028.8876808311436
10951,1028.8876808311436
10952,1028.8876808311436
10953,1028.8876808311436
10954,1028.8876808311436
10955,1028.8876808311436
10956,1035.1601579604808
10957,1035.1601579604808
10958,1035.1601579604808
10959,1035.1601579604808
10960,1035.1601579604808
10961,1035.1601579604808
10962,1035.1601579604808
10963,1035.1601579604808
10964,1035.1601579604808
10965,1035.1601579604808
10966,1035.1601579604808
10967,1035.1601579604808
10968,1035.1601579604808
10969,1035.1601579604808
10970,1035.1601579604808
10971,1035.1601579604808
10972,1035.1601579604808
10973,1035.1601579604808
10974,1035.1601579604808
10975,1035.1601579604808
10976,1035.1601579604808
10977,1035.1601579604808
10978,1035.1601579604808
10979,1035.1601579604808
10980,1035.1601579604808
10981,1035.1601579604808
10982,1035.1601579604808
10983,1035.1601579604808
10984,1035.1601579604808
10985,1035.1601579604808
10986,1035.1601579604808
10987,1035.1601579604808
10988,1035.1601579604808
10989,1035.1601579604808
10990,1035.1601579604808
10991,1035.1601579604808
10992,1035.1601579604808
10993,1035.1601579604808
10994,1035.1601579604808
10995,1035.1601579604808
10996,1035.1601579604808
10997,1035.1601579604808
10998,1035.1601579604808
10999,1035.1601579604808
11000,1035.1601579604808
11001,1035.1601579604808
11002,1035.1601579604808
11003,1035.1601579604808
11004,1035.1601579604808
11005,1035.1601579604808
11006,1035.1601579604808
11007,1035.1601579604808
11008,1035.1601579604808
11009,1035.1601579604808
11010,1035.1601579604808
11011,1035.1601579604808
11012,1035.1601579604808
11013,1035.1601579604808
11014,1035.1601579604808
11015,1035.1601579604808
11016,1035.1601579604808
11017,1035.1601579604808
11018,1035.1601579604808
11019,1035.1601579604808
11020,1035.1601579604808
11021,1035.1601579604808
11022,1035.1601579604808
11023,1035.1601579604808
11024,1035.1601579604808
11025,1035.1601579604808
11026,1035.1601579604808
11027,1035.1601579604808
11028,1035.1601579604808
11029,1035.1601579604808
11030,1035.1601579604808
11031,1035.1601579604808
11032,1035.1601579604808
11033,1035.1601579604808
11034,1035.1601579604808
11035,1035.1601579604808
11036,1035.1601579604808
11037,1035.1601579604808
11038,1035.1601579604808
11039,1035.1601579604808
11040,1035.1601579604808
11041,1035.1601579604808
11042,1035.1601579604808
11043,1035.1601579604808
11044,1035.1601579604808
11045,1035.1601579604808
11046,1035.1601579604808
11047,1036.050111805516
11048,1036.050111805516
11049,1036.050111805516
11050,1036.050111805516
11051,1036.050111805516
11052,1036.050111805516
11053,1036.050111805516
11054,1036.050111805516
11055,1036.050111805516
11056,1036.050111805516
11057,1036.050111805516
11058,1036.050111805516
11059,1036.050111805516
11060,1036.050111805516
11061,1036.050111805516
11062,1036.050111805516
11063,1036.050111805516
11064,1036.050111805516
11065,1036.050111805516
11066,1036.050111805516
11067,1036.050111805516
11068,1036.050111805516
11069,1036.050111805516
11070,1036.050111805516
11071,1036.050111805516
11072,1036.050111805516
11073,1036.050111805516
11074,1036.050111805516
11075,1036.050111805516
11076,1036.050111805516
11077,1036.050111805516
11078,1036.050111805516
11079,1036.050111805516
11080,1036.050111805516
11081,1036.050111805516
11082,1036.050111805516
11083,1036.050111805516
11084,1036.050111805516
11085,1036.050111805516
11086,1036.050111805516
11087,1036.050111805516
11088,1036.050111805516
11089,1036.050111805516
11090,1036.050111805516
11091,1036.050111805516
11092,1036.050111805516
11093,1036.050111805516
11094,1036.050111805516
11095,1036.050111805516
11096,1036.050111805516
11097,1036.050111805516
11098,1036.050111805516
11099,1036.050111805516
11100,1036.050111805516
11101,1036.050111805516
11102,1036.050111805516
11103,1036.050111805516
11104,1036.050111805516
11105,1036.050111805516
11106,1036.050111805516
11107,1036.050111805516
11108,1036.050111805516
11109,1036.050111805516
11110,1036.050111805516
11111,1036.050111805516
11112,1036.050111805516
11113,1036.050111805516
11114,1036.050111805516
11115,1036.050111805516
11116,1036.050111805516
11117,1036.050111805516
11118,1036.050111805516
11119,1036.050111805516
11120,1036.050111805516
11121,1036.050111805516
11122,1036.050111805516
11123,1036.050111805516
11124,1036.050111805516
11125,1036.050111805516
11126,1036.050111805516
11127,1036.050111805516
11128,1036.050111805516
11129,1036.050111805516
11130,1036.050111805516
11131,1036.050111805516
11132,1036.050111805516
11133,1036.050111805516
11134,1036.050111805516
11135,1036.050111805516
11136,1036.050111805516
11137,1036.050111805516
11138,1020.3319925145131
11139,1020.3319925145131
11140,1020.3319925145131
11141,1020.3319925145131
11142,1020.3319925145131
11143,1020.3319925145131
11144,1020.3319925145131
11145,1020.3319925145131
11146,1020.3319925145131
11147,1020.3319925145131
11148,1020.3319925145131
11149,1020.3319925145131
11150,1020.3319925145131
11151,1020.3319925145131
11152,1020.3319925145131
11153,1020.3319925145131
11154,1020.3319925145131
11155,1020.3319925145131
11156,1020.3319925145131
11157,1020.3319925145131
11158,1020.3319925145131
11159,1020.3319925145131
11160,1020.3319925145131
11161,1020.3319925145131
11162,1020.3319925145131
11163,1020.3319925145131
11164,1020.3319925145131
11165,1020.3319925145131
11166,1020.3319925145131
11167,1020.3319925145131
11168,1020.3319925145131
11169,1020.3319925145131
11170,1020.3319925145131
11171,1020.3319925145131
11172,1020.3319925145131
11173,1020.3319925145131
11174,1020.3319925145131
11175,1020.3319925145131
11176,1020.3319925145131
11177,1020.3319925145131
11178,1020.3319925145131
11179,1020.3319925145131
11180,1020.3319925145131
11181,1020.3319925145131
11182,1020.3319925145131
11183,1020.3319925145131
11184,1020.3319925145131
11185,1020.3319925145131
11186,1020.3319925145131
11187,1020.3319925145131
11188,1020.3319925145131
11189,1020.3319925145131
11190,1020.3319925145131
11191,1020.3319925145131
11192,1020.3319925145131
11193,1020.3319925145131
11194,1020.3319925145131
11195,1020.3319925145131
11196,1020.3319925145131
11197,1020.3319925145131
11198,1020.3319925145131
11199,1020.3319925145131
11200,1020.3319925145131
