,INJCSP Index_ratio
10278,983.8511443486286
10279,983.8511443486286
10280,983.8511443486286
10281,983.8511443486286
10282,983.8511443486286
10283,983.8511443486286
10284,983.8511443486286
10285,983.8511443486286
10286,983.8511443486286
10287,983.8511443486286
10288,983.8511443486286
10289,983.8511443486286
10290,983.8511443486286
10291,983.8511443486286
10292,983.8511443486286
10293,983.8511443486286
10294,983.8511443486286
10295,983.8511443486286
10296,983.8511443486286
10297,983.8511443486286
10298,983.8511443486286
10299,983.8511443486286
10300,983.8511443486286
10301,983.8511443486286
10302,983.8511443486286
10303,983.8511443486286
10304,983.8511443486286
10305,983.8511443486286
10306,983.8511443486286
10307,983.8511443486286
10308,983.8511443486286
10309,983.8511443486286
10310,983.8511443486286
10311,983.8511443486286
10312,983.8511443486286
10313,983.8511443486286
10314,983.8511443486286
10315,983.8511443486286
10316,904.1291491993101
10317,904.1291491993101
10318,904.1291491993101
10319,904.1291491993101
10320,904.1291491993101
10321,904.1291491993101
10322,904.1291491993101
10323,904.1291491993101
10324,904.1291491993101
10325,904.1291491993101
10326,904.1291491993101
10327,904.1291491993101
10328,904.1291491993101
10329,904.1291491993101
10330,904.1291491993101
10331,904.1291491993101
10332,904.1291491993101
10333,904.1291491993101
10334,904.1291491993101
10335,904.1291491993101
10336,904.1291491993101
10337,904.1291491993101
10338,904.1291491993101
10339,904.1291491993101
10340,904.1291491993101
10341,904.1291491993101
10342,904.1291491993101
10343,904.1291491993101
10344,904.1291491993101
10345,904.1291491993101
10346,904.1291491993101
10347,904.1291491993101
10348,904.1291491993101
10349,904.1291491993101
10350,904.1291491993101
10351,904.1291491993101
10352,904.1291491993101
10353,904.1291491993101
10354,904.1291491993101
10355,904.1291491993101
10356,904.1291491993101
10357,904.1291491993101
10358,904.1291491993101
10359,904.1291491993101
10360,904.1291491993101
10361,904.1291491993101
10362,904.1291491993101
10363,904.1291491993101
10364,904.1291491993101
10365,904.1291491993101
10366,904.1291491993101
10367,904.1291491993101
10368,904.1291491993101
10369,904.1291491993101
10370,904.1291491993101
10371,904.1291491993101
10372,904.1291491993101
10373,904.1291491993101
10374,904.1291491993101
10375,904.1291491993101
10376,904.1291491993101
10377,904.1291491993101
10378,904.1291491993101
10379,904.1291491993101
10380,904.1291491993101
10381,904.1291491993101
10382,904.1291491993101
10383,904.1291491993101
10384,904.1291491993101
10385,904.1291491993101
10386,904.1291491993101
10387,904.1291491993101
10388,904.1291491993101
10389,904.1291491993101
10390,904.1291491993101
10391,904.1291491993101
10392,904.1291491993101
10393,904.1291491993101
10394,904.1291491993101
10395,904.1291491993101
10396,904.1291491993101
10397,904.1291491993101
10398,904.1291491993101
10399,904.1291491993101
10400,904.1291491993101
10401,904.1291491993101
