,USMMMNCH Index_ratio
10503,1597.434836574266
10504,1597.434836574266
10505,1597.434836574266
10506,1597.434836574266
10507,1597.434836574266
10508,1597.434836574266
10509,1597.434836574266
10510,1597.434836574266
10511,1597.434836574266
10512,1597.434836574266
10513,1597.434836574266
10514,1597.434836574266
10515,1597.434836574266
10516,1597.434836574266
10517,1597.434836574266
10518,1597.434836574266
10519,1597.434836574266
10520,1597.434836574266
10521,1597.434836574266
10522,1597.434836574266
10523,1597.434836574266
10524,1597.434836574266
10525,1597.434836574266
10526,1597.434836574266
10527,1597.434836574266
10528,1597.434836574266
10529,1597.434836574266
10530,1597.434836574266
10531,1597.434836574266
10532,1597.434836574266
10533,1597.434836574266
10534,1597.434836574266
10535,1597.434836574266
10536,1597.434836574266
10537,1597.434836574266
10538,1597.434836574266
10539,1597.434836574266
10540,1597.434836574266
10541,1597.434836574266
10542,1597.434836574266
10543,1597.434836574266
10544,1597.434836574266
10545,1597.434836574266
10546,1597.434836574266
10547,1597.434836574266
10548,1597.434836574266
10549,1597.434836574266
10550,1597.434836574266
10551,1597.434836574266
10552,1597.434836574266
10553,1597.434836574266
10554,1597.434836574266
10555,1597.434836574266
10556,1597.434836574266
10557,1597.434836574266
10558,1597.434836574266
10559,1597.434836574266
10560,1597.434836574266
10561,1597.434836574266
10562,1597.434836574266
10563,1597.434836574266
10564,1597.434836574266
10565,1597.434836574266
10566,1597.434836574266
10567,1597.434836574266
10568,1597.434836574266
10569,1597.434836574266
10570,1597.434836574266
10571,1597.434836574266
10572,1597.434836574266
10573,1597.434836574266
10574,1597.434836574266
10575,1597.434836574266
10576,1597.434836574266
10577,1597.434836574266
10578,1597.434836574266
10579,1597.434836574266
10580,1597.434836574266
10581,1597.434836574266
10582,1597.434836574266
10583,1597.434836574266
10584,1597.434836574266
10585,1597.434836574266
10586,1597.434836574266
10587,1597.434836574266
10588,1597.434836574266
10589,1597.434836574266
10590,1597.434836574266
10591,597.9510201732423
10592,597.9510201732423
10593,597.9510201732423
10594,597.9510201732423
10595,597.9510201732423
10596,597.9510201732423
10597,597.9510201732423
10598,597.9510201732423
10599,597.9510201732423
10600,597.9510201732423
10601,597.9510201732423
10602,597.9510201732423
10603,597.9510201732423
10604,597.9510201732423
10605,597.9510201732423
10606,597.9510201732423
10607,597.9510201732423
10608,597.9510201732423
10609,597.9510201732423
10610,597.9510201732423
10611,597.9510201732423
10612,597.9510201732423
