Date,GDP PIQQ Index_ratio_annual
1967-04-07,1600.3495093426536
1967-04-08,1597.5560628440983
1967-04-09,1594.7686116700202
1967-04-10,1591.9871365402655
1967-04-11,1589.2116182572618
1967-04-12,1586.4420377055753
1967-04-13,1583.678375851476
1967-04-14,1580.9206137424947
1967-04-15,1578.168732506997
1967-04-16,1575.4227133537481
1967-04-17,1572.6825375714855
1967-04-18,1569.9481865284972
1967-04-19,1567.219641672196
1967-04-20,1564.4968845287024
1967-04-21,1561.7798967024232
1967-04-22,1559.0686598756445
1967-04-23,1556.363155808114
1967-04-24,1553.6633663366335
1967-04-25,1550.969273374654
1967-04-26,1548.280858911869
1967-04-27,1545.5981050138173
1967-04-28,1542.92099382148
1967-04-29,1540.2495075508857
1967-04-30,1537.5836284927195
1967-05-01,1534.923339011925
1967-05-02,1532.2686215473227
1967-05-03,1529.6194586112194
1967-05-04,1526.9758327890265
1967-05-05,1524.337726738875
1967-05-06,1521.7051231912396
1967-05-07,1519.078004948561
1967-05-08,1516.4563548848703
1967-05-09,1513.8401559454194
1967-05-10,1511.2293911463066
1967-05-11,1508.624043574115
1967-05-12,1506.0240963855424
1967-05-13,1503.4295328070398
1967-05-14,1500.8403361344542
1967-05-15,1498.256489732662
1967-05-16,1495.6779770352207
1967-05-17,1493.1047815440136
1967-05-18,1490.5368868288917
1967-05-19,1487.974276527331
1967-05-20,1485.416934344083
1967-05-21,1482.864844050828
1967-05-22,1480.3179894858317
1967-05-23,1477.7763545536054
1967-05-24,1475.239923224568
1967-05-25,1472.7086795347052
1967-05-26,1470.1826075852384
1967-05-27,1467.6616915422885
1967-05-28,1465.1459156365488
1967-05-29,1462.6352641629535
1967-05-30,1460.129721480351
1967-05-31,1457.62927201118
1967-06-01,1455.1339002411473
1967-06-02,1452.6435907189043
1967-06-03,1450.1583280557313
1967-06-04,1447.6780969252181
1967-06-05,1445.20288206295
1967-06-06,1442.732668266195
1967-06-07,1440.2674403935914
1967-06-08,1437.8071833648394
1967-06-09,1435.351882160393
1967-06-10,1432.9015218211543
1967-06-11,1430.4560874481715
1967-06-12,1428.0155642023344
1967-06-13,1425.5799373040752
1967-06-14,1423.14919203307
1967-06-15,1420.7233137279438
1967-06-16,1418.302287785973
1967-06-17,1415.8860996627948
1967-06-18,1413.4747348721148
1967-06-19,1411.0681789854166
1967-06-20,1408.6664176316772
1967-06-21,1406.2694364970766
1967-06-22,1403.8772213247173
1967-06-23,1401.4897579143392
1967-06-24,1399.1070321220393
1967-06-25,1396.7290298599924
1967-06-26,1394.3557370961755
1967-06-27,1391.987139854087
1967-06-28,1389.623224212477
1967-06-29,1387.2639763050722
1967-06-30,1384.9093823203057
1967-07-01,1380.2435723951285
1967-07-02,1375.5983797716951
1967-07-03,1370.9736680955298
1967-07-04,1366.369302211903
1967-07-05,1361.7851481526648
1967-07-06,1357.221073123251
1967-07-07,1352.6769454898626
1967-07-08,1348.152634766808
1967-07-09,1343.6480116040134
1967-07-10,1339.1629477746956
1967-07-11,1334.6973161631968
1967-07-12,1330.2509907529725
1967-07-13,1325.8238466147393
1967-07-14,1321.4157598947747
1967-07-15,1317.0266078033649
1967-07-16,1312.6562686034051
1967-07-17,1308.304621599145
1967-07-18,1303.971547125074
1967-07-19,1299.656926534958
1967-07-20,1295.3606421910051
1967-07-21,1291.0825774531747
1967-07-22,1286.8226166686259
1967-07-23,1282.5806451612907
1967-07-24,1278.3565492215848
1967-07-25,1274.1502160962505
1967-07-26,1269.9615339783193
1967-07-27,1265.790391997208
1967-07-28,1261.636680208938
1967-07-29,1257.5002895864704
1967-07-30,1253.381112010172
1967-07-31,1249.279040258392
1967-08-01,1245.1939679981579
1967-08-02,1241.125789775991
1967-08-03,1237.0744010088272
1967-08-04,1233.0396979750603
1967-08-05,1229.0215778056859
1967-08-06,1225.019938475561
1967-08-07,1221.0346787947701
1967-08-08,1217.065698400091
1967-08-09,1213.1128977465746
1967-08-10,1209.1761780992206
1967-08-11,1205.2554415247548
1967-08-12,1201.3505908835118
1967-08-13,1197.4615298214085
1967-08-14,1193.5881627620222
1967-08-15,1189.7303948987585
1967-08-16,1185.8881321871163
1967-08-17,1182.0612813370476
1967-08-18,1178.2497498054042
1967-08-19,1174.4534457884808
1967-08-20,1170.672278214642
1967-08-21,1166.90615673704
1967-08-22,1163.1549917264203
1967-08-23,1159.41869426401
1967-08-24,1155.6971761344907
1967-08-25,1151.9903498190595
1967-08-26,1148.2981284885632
1967-08-27,1144.6204259967233
1967-08-28,1140.957156873433
1967-08-29,1137.3082363181377
1967-08-30,1133.6735801932891
1967-08-31,1130.0531050178824
1967-09-01,1126.44672796106
1967-09-02,1122.8543668357984
1967-09-03,1119.2759400926625
1967-09-04,1115.7113668136358
1967-09-05,1112.1605667060212
1967-09-06,1108.6234600964117
1967-09-07,1105.09996792473
1967-09-08,1101.5900117383417
1967-09-09,1098.0935136862286
1967-09-10,1094.6103965132347
1967-09-11,1091.1405835543765
1967-09-12,1087.6839987292174
1967-09-13,1084.2405665363071
1967-09-14,1080.8102120476842
1967-09-15,1077.3928609034433
1967-09-16,1073.9884393063585
1967-09-17,1070.5968740165738
1967-09-18,1067.218092346351
1967-09-19,1063.852022154875
1967-09-20,1060.498591843121
1967-09-21,1057.1577303487768
1967-09-22,1053.8293671412243
1967-09-23,1050.513432216575
1967-09-24,1047.2098560927632
1967-09-25,1043.9185698046915
1967-09-26,1040.6395048994327
1967-09-27,1037.3725934314837
1967-09-28,1034.117767958072
1967-09-29,1030.8749615345162
1967-09-30,1027.6441077096345
1967-10-01,1025.858544562551
1967-10-02,1024.079175594327
1967-10-03,1022.3059686290484
1967-10-04,1020.5388917132686
1967-10-05,1018.7779131140883
1967-10-06,1017.0230013172556
1967-10-07,1015.2741250252881
1967-10-08,1013.5312531556092
