,GBPUSD Curncy_ratio
10339,952.4604439507583
10340,952.4604439507583
10341,952.4604439507583
10342,952.4604439507583
10343,952.4604439507583
10344,952.4604439507583
10345,952.4604439507583
10346,952.4604439507583
10347,952.4604439507583
10348,952.4604439507583
10349,952.4604439507583
10350,952.4604439507583
10351,952.4604439507583
10352,952.4604439507583
10353,952.4604439507583
10354,952.4604439507583
10355,952.4604439507583
10356,952.4604439507583
10357,952.4604439507583
10358,952.4604439507583
10359,952.4604439507583
10360,952.4604439507583
10361,952.4604439507583
10362,952.4604439507583
10363,952.4604439507583
10364,952.4604439507583
10365,952.4604439507583
10366,952.4604439507583
10367,952.4604439507583
10368,952.4604439507583
10369,952.4604439507583
10370,952.4604439507583
10371,952.4604439507583
10372,952.4604439507583
10373,952.4604439507583
10374,952.4604439507583
10375,952.4604439507583
10376,952.4604439507583
10377,952.4604439507583
10378,952.4604439507583
10379,952.4604439507583
10380,952.4604439507583
10381,952.4604439507583
10382,952.4604439507583
10383,952.4604439507583
10384,952.4604439507583
10385,952.4604439507583
10386,952.4604439507583
10387,952.4604439507583
10388,952.4604439507583
10389,952.4604439507583
10390,952.4604439507583
10391,952.4604439507583
10392,952.4604439507583
10393,952.4604439507583
10394,952.4604439507583
10395,952.4604439507583
10396,952.4604439507583
10397,952.4604439507583
10398,952.4604439507583
10399,952.4604439507583
10400,952.4604439507583
10401,952.4604439507583
10402,952.4604439507583
10403,952.4604439507583
10404,952.4604439507583
10405,952.4604439507583
10406,952.4604439507583
10407,1052.3208542400378
10408,1052.3208542400378
10409,1052.3208542400378
10410,1052.3208542400378
10411,1052.3208542400378
10412,1052.3208542400378
10413,1052.3208542400378
10414,1052.3208542400378
10415,1052.3208542400378
10416,1052.3208542400378
10417,1052.3208542400378
10418,1052.3208542400378
10419,1052.3208542400378
10420,1052.3208542400378
10421,1052.3208542400378
10422,1052.3208542400378
10423,1052.3208542400378
10424,1052.3208542400378
10425,1052.3208542400378
10426,1052.3208542400378
10427,1052.3208542400378
10428,1052.3208542400378
10429,1052.3208542400378
10430,1052.3208542400378
10431,1052.3208542400378
10432,1052.3208542400378
10433,1052.3208542400378
10434,1052.3208542400378
10435,1052.3208542400378
10436,1052.3208542400378
10437,1052.3208542400378
10438,1052.3208542400378
10439,1052.3208542400378
10440,1052.3208542400378
10441,1052.3208542400378
10442,1052.3208542400378
10443,1052.3208542400378
10444,1052.3208542400378
10445,1052.3208542400378
10446,1052.3208542400378
10447,1052.3208542400378
10448,1052.3208542400378
10449,1052.3208542400378
10450,1052.3208542400378
10451,1052.3208542400378
10452,1052.3208542400378
10453,1052.3208542400378
10454,1052.3208542400378
10455,1052.3208542400378
10456,1052.3208542400378
10457,1052.3208542400378
10458,1052.3208542400378
10459,1052.3208542400378
10460,1052.3208542400378
10461,1052.3208542400378
10462,1052.3208542400378
10463,1052.3208542400378
10464,1052.3208542400378
10465,1052.3208542400378
10466,1052.3208542400378
10467,1052.3208542400378
10468,1052.3208542400378
10469,1052.3208542400378
10470,1052.3208542400378
10471,1052.3208542400378
10472,1052.3208542400378
10473,1052.3208542400378
10474,1052.3208542400378
10475,1052.3208542400378
10476,1052.3208542400378
10477,1052.3208542400378
10478,1052.3208542400378
10479,1052.3208542400378
10480,1052.3208542400378
10481,1052.3208542400378
10482,1052.3208542400378
10483,1052.3208542400378
10484,1052.3208542400378
10485,1052.3208542400378
10486,1052.3208542400378
10487,1052.3208542400378
10488,1052.3208542400378
10489,1052.3208542400378
10490,1052.3208542400378
10491,1052.3208542400378
10492,1052.3208542400378
10493,1052.3208542400378
10494,1052.3208542400378
10495,1052.3208542400378
10496,1052.3208542400378
10497,1052.3208542400378
10498,1052.3208542400378
10499,1026.4436736516714
10500,1026.4436736516714
10501,1026.4436736516714
10502,1026.4436736516714
10503,1026.4436736516714
10504,1026.4436736516714
10505,1026.4436736516714
10506,1026.4436736516714
10507,1026.4436736516714
10508,1026.4436736516714
10509,1026.4436736516714
10510,1026.4436736516714
10511,1026.4436736516714
10512,1026.4436736516714
10513,1026.4436736516714
10514,1026.4436736516714
10515,1026.4436736516714
10516,1026.4436736516714
10517,1026.4436736516714
10518,1026.4436736516714
10519,1026.4436736516714
10520,1026.4436736516714
10521,1026.4436736516714
10522,1026.4436736516714
10523,1026.4436736516714
10524,1026.4436736516714
10525,1026.4436736516714
10526,1026.4436736516714
10527,1026.4436736516714
10528,1026.4436736516714
10529,1026.4436736516714
10530,1026.4436736516714
10531,1026.4436736516714
10532,1026.4436736516714
10533,1026.4436736516714
10534,1026.4436736516714
10535,1026.4436736516714
10536,1026.4436736516714
10537,1026.4436736516714
10538,1026.4436736516714
10539,1026.4436736516714
10540,1026.4436736516714
10541,1026.4436736516714
10542,1026.4436736516714
10543,1026.4436736516714
10544,1026.4436736516714
10545,1026.4436736516714
10546,1026.4436736516714
10547,1026.4436736516714
10548,1026.4436736516714
10549,1026.4436736516714
10550,1026.4436736516714
10551,1026.4436736516714
10552,1026.4436736516714
10553,1026.4436736516714
10554,1026.4436736516714
10555,1026.4436736516714
10556,1026.4436736516714
10557,1026.4436736516714
10558,1026.4436736516714
10559,1026.4436736516714
10560,1026.4436736516714
10561,1026.4436736516714
10562,1026.4436736516714
10563,1026.4436736516714
10564,1026.4436736516714
10565,1026.4436736516714
10566,1026.4436736516714
10567,1026.4436736516714
10568,1026.4436736516714
10569,1026.4436736516714
10570,1026.4436736516714
10571,1026.4436736516714
10572,1026.4436736516714
10573,1026.4436736516714
10574,1026.4436736516714
10575,1026.4436736516714
10576,1026.4436736516714
10577,1026.4436736516714
10578,1026.4436736516714
10579,1026.4436736516714
10580,1026.4436736516714
10581,1026.4436736516714
10582,1026.4436736516714
10583,1026.4436736516714
10584,1026.4436736516714
10585,1026.4436736516714
10586,1026.4436736516714
10587,1026.4436736516714
10588,1026.4436736516714
10589,1026.4436736516714
10590,1026.4436736516714
10591,1017.4375732463665
10592,1017.4375732463665
10593,1017.4375732463665
10594,1017.4375732463665
10595,1017.4375732463665
10596,1017.4375732463665
10597,1017.4375732463665
10598,1017.4375732463665
10599,1017.4375732463665
10600,1017.4375732463665
10601,1017.4375732463665
10602,1017.4375732463665
10603,1017.4375732463665
10604,1017.4375732463665
10605,1017.4375732463665
10606,1017.4375732463665
10607,1017.4375732463665
10608,1017.4375732463665
10609,1017.4375732463665
10610,1017.4375732463665
10611,1017.4375732463665
10612,1017.4375732463665
10613,1017.4375732463665
10614,1017.4375732463665
10615,1017.4375732463665
10616,1017.4375732463665
10617,1017.4375732463665
10618,1017.4375732463665
10619,1017.4375732463665
10620,1017.4375732463665
10621,1017.4375732463665
10622,1017.4375732463665
10623,1017.4375732463665
10624,1017.4375732463665
10625,1017.4375732463665
10626,1017.4375732463665
10627,1017.4375732463665
10628,1017.4375732463665
10629,1017.4375732463665
10630,1017.4375732463665
10631,1017.4375732463665
10632,1017.4375732463665
10633,1017.4375732463665
10634,1017.4375732463665
10635,1017.4375732463665
10636,1017.4375732463665
10637,1017.4375732463665
10638,1017.4375732463665
10639,1017.4375732463665
10640,1017.4375732463665
10641,1017.4375732463665
10642,1017.4375732463665
10643,1017.4375732463665
10644,1017.4375732463665
10645,1017.4375732463665
10646,1017.4375732463665
10647,1017.4375732463665
10648,1017.4375732463665
10649,1017.4375732463665
10650,1017.4375732463665
10651,1017.4375732463665
10652,1017.4375732463665
10653,1017.4375732463665
10654,1017.4375732463665
