,NHSPATOT Index_ratio
10465,988.0381058321735
10466,988.0381058321735
10467,988.0381058321735
10468,988.0381058321735
10469,988.0381058321735
10470,988.0381058321735
10471,988.0381058321735
10472,988.0381058321735
10473,988.0381058321735
10474,988.0381058321735
10475,988.0381058321735
10476,988.0381058321735
10477,988.0381058321735
10478,988.0381058321735
10479,988.0381058321735
10480,988.0381058321735
10481,988.0381058321735
10482,988.0381058321735
10483,988.0381058321735
10484,988.0381058321735
10485,988.0381058321735
10486,988.0381058321735
10487,988.0381058321735
10488,988.0381058321735
10489,988.0381058321735
10490,988.0381058321735
10491,988.0381058321735
10492,988.0381058321735
10493,988.0381058321735
10494,988.0381058321735
10495,988.0381058321735
10496,988.0381058321735
10497,988.0381058321735
10498,988.0381058321735
10499,976.6100742812409
10500,976.6100742812409
10501,976.6100742812409
10502,976.6100742812409
10503,976.6100742812409
10504,976.6100742812409
10505,976.6100742812409
10506,976.6100742812409
10507,976.6100742812409
10508,976.6100742812409
10509,976.6100742812409
10510,976.6100742812409
10511,976.6100742812409
10512,976.6100742812409
10513,976.6100742812409
10514,976.6100742812409
10515,976.6100742812409
10516,976.6100742812409
10517,976.6100742812409
10518,976.6100742812409
10519,976.6100742812409
10520,976.6100742812409
10521,976.6100742812409
10522,976.6100742812409
10523,976.6100742812409
10524,976.6100742812409
10525,976.6100742812409
10526,976.6100742812409
10527,976.6100742812409
10528,976.6100742812409
10529,976.6100742812409
10530,976.6100742812409
10531,976.6100742812409
10532,976.6100742812409
10533,976.6100742812409
10534,976.6100742812409
10535,976.6100742812409
10536,976.6100742812409
10537,976.6100742812409
10538,976.6100742812409
10539,976.6100742812409
10540,976.6100742812409
10541,976.6100742812409
10542,976.6100742812409
10543,976.6100742812409
10544,976.6100742812409
10545,976.6100742812409
10546,976.6100742812409
10547,976.6100742812409
10548,976.6100742812409
10549,976.6100742812409
10550,976.6100742812409
10551,976.6100742812409
10552,976.6100742812409
10553,976.6100742812409
10554,976.6100742812409
10555,976.6100742812409
10556,976.6100742812409
10557,976.6100742812409
10558,976.6100742812409
10559,976.6100742812409
10560,976.6100742812409
10561,976.6100742812409
10562,976.6100742812409
10563,976.6100742812409
10564,976.6100742812409
10565,976.6100742812409
10566,976.6100742812409
10567,976.6100742812409
10568,976.6100742812409
10569,976.6100742812409
10570,976.6100742812409
10571,976.6100742812409
10572,976.6100742812409
10573,976.6100742812409
10574,976.6100742812409
10575,976.6100742812409
10576,976.6100742812409
10577,976.6100742812409
10578,976.6100742812409
10579,976.6100742812409
10580,976.6100742812409
10581,976.6100742812409
10582,976.6100742812409
10583,976.6100742812409
10584,976.6100742812409
10585,976.6100742812409
10586,976.6100742812409
10587,976.6100742812409
10588,976.6100742812409
10589,976.6100742812409
10590,976.6100742812409
10591,897.1020670964988
10592,897.1020670964988
10593,897.1020670964988
10594,897.1020670964988
10595,897.1020670964988
10596,897.1020670964988
10597,897.1020670964988
10598,897.1020670964988
10599,897.1020670964988
10600,897.1020670964988
10601,897.1020670964988
10602,897.1020670964988
10603,897.1020670964988
10604,897.1020670964988
10605,897.1020670964988
10606,897.1020670964988
10607,897.1020670964988
10608,897.1020670964988
10609,897.1020670964988
10610,897.1020670964988
10611,897.1020670964988
10612,897.1020670964988
10613,897.1020670964988
10614,897.1020670964988
10615,897.1020670964988
10616,897.1020670964988
10617,897.1020670964988
10618,897.1020670964988
10619,897.1020670964988
10620,897.1020670964988
10621,897.1020670964988
10622,897.1020670964988
10623,897.1020670964988
10624,897.1020670964988
10625,897.1020670964988
10626,897.1020670964988
10627,897.1020670964988
10628,897.1020670964988
10629,897.1020670964988
10630,897.1020670964988
10631,897.1020670964988
10632,897.1020670964988
10633,897.1020670964988
10634,897.1020670964988
10635,897.1020670964988
10636,897.1020670964988
10637,897.1020670964988
10638,897.1020670964988
10639,897.1020670964988
10640,897.1020670964988
10641,897.1020670964988
10642,897.1020670964988
10643,897.1020670964988
10644,897.1020670964988
10645,897.1020670964988
10646,897.1020670964988
10647,897.1020670964988
10648,897.1020670964988
10649,897.1020670964988
10650,897.1020670964988
10651,897.1020670964988
10652,897.1020670964988
10653,897.1020670964988
10654,897.1020670964988
10655,897.1020670964988
10656,897.1020670964988
10657,897.1020670964988
10658,897.1020670964988
10659,897.1020670964988
10660,897.1020670964988
10661,897.1020670964988
10662,897.1020670964988
10663,897.1020670964988
10664,897.1020670964988
10665,897.1020670964988
10666,897.1020670964988
10667,897.1020670964988
10668,897.1020670964988
10669,897.1020670964988
10670,897.1020670964988
10671,897.1020670964988
10672,897.1020670964988
10673,897.1020670964988
10674,897.1020670964988
10675,897.1020670964988
10676,897.1020670964988
10677,897.1020670964988
10678,897.1020670964988
10679,897.1020670964988
10680,897.1020670964988
10681,1045.0540256006718
10682,1045.0540256006718
10683,1045.0540256006718
10684,1045.0540256006718
10685,1045.0540256006718
10686,1045.0540256006718
10687,1045.0540256006718
10688,1045.0540256006718
10689,1045.0540256006718
10690,1045.0540256006718
10691,1045.0540256006718
10692,1045.0540256006718
10693,1045.0540256006718
10694,1045.0540256006718
10695,1045.0540256006718
10696,1045.0540256006718
10697,1045.0540256006718
10698,1045.0540256006718
10699,1045.0540256006718
10700,1045.0540256006718
10701,1045.0540256006718
10702,1045.0540256006718
10703,1045.0540256006718
