,CPI CHNG Index_ratio
10456,956.6304347826082
10457,956.6304347826082
10458,956.6304347826082
10459,956.6304347826082
10460,956.6304347826082
10461,956.6304347826082
10462,956.6304347826082
10463,956.6304347826082
10464,956.6304347826082
10465,956.6304347826082
10466,956.6304347826082
10467,956.6304347826082
10468,956.6304347826082
10469,956.6304347826082
10470,956.6304347826082
10471,956.6304347826082
10472,956.6304347826082
10473,956.6304347826082
10474,956.6304347826082
10475,956.6304347826082
10476,956.6304347826082
10477,956.6304347826082
10478,956.6304347826082
10479,956.6304347826082
10480,956.6304347826082
10481,956.6304347826082
10482,956.6304347826082
10483,956.6304347826082
10484,956.6304347826082
10485,956.6304347826082
10486,956.6304347826082
10487,956.6304347826082
10488,956.6304347826082
10489,956.6304347826082
10490,956.6304347826082
10491,956.6304347826082
10492,956.6304347826082
10493,956.6304347826082
10494,956.6304347826082
10495,956.6304347826082
10496,956.6304347826082
10497,956.6304347826082
10498,956.6304347826082
10499,1081.2407680945348
10500,1081.2407680945348
10501,1081.2407680945348
10502,1081.2407680945348
10503,1081.2407680945348
10504,1081.2407680945348
10505,1081.2407680945348
10506,1081.2407680945348
10507,1081.2407680945348
10508,1081.2407680945348
10509,1081.2407680945348
10510,1081.2407680945348
10511,1081.2407680945348
10512,1081.2407680945348
10513,1081.2407680945348
10514,1081.2407680945348
10515,1081.2407680945348
10516,1081.2407680945348
10517,1081.2407680945348
10518,1081.2407680945348
10519,1081.2407680945348
10520,1081.2407680945348
10521,1081.2407680945348
10522,1081.2407680945348
10523,1081.2407680945348
10524,1081.2407680945348
10525,1081.2407680945348
10526,1081.2407680945348
10527,1081.2407680945348
10528,1081.2407680945348
10529,1081.2407680945348
10530,1081.2407680945348
10531,1081.2407680945348
10532,1081.2407680945348
10533,1081.2407680945348
10534,1081.2407680945348
10535,1081.2407680945348
10536,1081.2407680945348
10537,1081.2407680945348
10538,1081.2407680945348
10539,1081.2407680945348
10540,1081.2407680945348
10541,1081.2407680945348
10542,1081.2407680945348
10543,1081.2407680945348
10544,1081.2407680945348
10545,1081.2407680945348
10546,1081.2407680945348
10547,1081.2407680945348
10548,1081.2407680945348
10549,1081.2407680945348
10550,1081.2407680945348
10551,1081.2407680945348
10552,1081.2407680945348
10553,1081.2407680945348
10554,1081.2407680945348
10555,1081.2407680945348
10556,1081.2407680945348
10557,1081.2407680945348
10558,1081.2407680945348
10559,1081.2407680945348
10560,1081.2407680945348
10561,1081.2407680945348
10562,1081.2407680945348
10563,1081.2407680945348
10564,1081.2407680945348
10565,1081.2407680945348
10566,1081.2407680945348
10567,1081.2407680945348
10568,1081.2407680945348
10569,1081.2407680945348
10570,1081.2407680945348
10571,1081.2407680945348
10572,1081.2407680945348
10573,1081.2407680945348
10574,1081.2407680945348
10575,1081.2407680945348
10576,1081.2407680945348
10577,1081.2407680945348
10578,1081.2407680945348
10579,1081.2407680945348
10580,1081.2407680945348
10581,1081.2407680945348
10582,1081.2407680945348
10583,1081.2407680945348
10584,1081.2407680945348
10585,1081.2407680945348
10586,1081.2407680945348
10587,1081.2407680945348
10588,1081.2407680945348
10589,1081.2407680945348
10590,1081.2407680945348
10591,1050.151791135398
10592,1050.151791135398
10593,1050.151791135398
10594,1050.151791135398
10595,1050.151791135398
10596,1050.151791135398
10597,1050.151791135398
10598,1050.151791135398
10599,1050.151791135398
10600,1050.151791135398
10601,1050.151791135398
10602,1050.151791135398
10603,1050.151791135398
10604,1050.151791135398
10605,1050.151791135398
10606,1050.151791135398
10607,1050.151791135398
10608,1050.151791135398
10609,1050.151791135398
10610,1050.151791135398
10611,1050.151791135398
10612,1050.151791135398
10613,1050.151791135398
10614,1050.151791135398
10615,1050.151791135398
10616,1050.151791135398
10617,1050.151791135398
10618,1050.151791135398
10619,1050.151791135398
10620,1050.151791135398
10621,1050.151791135398
10622,1050.151791135398
10623,1050.151791135398
10624,1050.151791135398
10625,1050.151791135398
10626,1050.151791135398
10627,1050.151791135398
10628,1050.151791135398
10629,1050.151791135398
10630,1050.151791135398
10631,1050.151791135398
10632,1050.151791135398
10633,1050.151791135398
10634,1050.151791135398
10635,1050.151791135398
10636,1050.151791135398
10637,1050.151791135398
10638,1050.151791135398
10639,1050.151791135398
10640,1050.151791135398
10641,1050.151791135398
10642,1050.151791135398
10643,1050.151791135398
10644,1050.151791135398
10645,1050.151791135398
10646,1050.151791135398
10647,1050.151791135398
10648,1050.151791135398
10649,1050.151791135398
10650,1050.151791135398
10651,1050.151791135398
10652,1050.151791135398
10653,1050.151791135398
10654,1050.151791135398
10655,1050.151791135398
10656,1050.151791135398
10657,1050.151791135398
10658,1050.151791135398
10659,1050.151791135398
10660,1050.151791135398
10661,1050.151791135398
10662,1050.151791135398
10663,1050.151791135398
10664,1050.151791135398
10665,1050.151791135398
10666,1050.151791135398
10667,1050.151791135398
10668,1050.151791135398
10669,1050.151791135398
10670,1050.151791135398
10671,1050.151791135398
10672,1050.151791135398
10673,1050.151791135398
10674,1050.151791135398
10675,1050.151791135398
10676,1050.151791135398
10677,1050.151791135398
10678,1050.151791135398
10679,1050.151791135398
10680,1050.151791135398
10681,1237.5789104512505
10682,1237.5789104512505
10683,1237.5789104512505
10684,1237.5789104512505
10685,1237.5789104512505
10686,1237.5789104512505
10687,1237.5789104512505
10688,1237.5789104512505
10689,1237.5789104512505
10690,1237.5789104512505
10691,1237.5789104512505
10692,1237.5789104512505
10693,1237.5789104512505
10694,1237.5789104512505
10695,1237.5789104512505
10696,1237.5789104512505
10697,1237.5789104512505
10698,1237.5789104512505
10699,1237.5789104512505
10700,1237.5789104512505
10701,1237.5789104512505
10702,1237.5789104512505
10703,1237.5789104512505
10704,1237.5789104512505
10705,1237.5789104512505
10706,1237.5789104512505
10707,1237.5789104512505
10708,1237.5789104512505
10709,1237.5789104512505
10710,1237.5789104512505
10711,1237.5789104512505
10712,1237.5789104512505
10713,1237.5789104512505
10714,1237.5789104512505
10715,1237.5789104512505
10716,1237.5789104512505
10717,1237.5789104512505
10718,1237.5789104512505
10719,1237.5789104512505
10720,1237.5789104512505
10721,1237.5789104512505
10722,1237.5789104512505
10723,1237.5789104512505
10724,1237.5789104512505
10725,1237.5789104512505
10726,1237.5789104512505
10727,1237.5789104512505
10728,1237.5789104512505
10729,1237.5789104512505
10730,1237.5789104512505
10731,1237.5789104512505
10732,1237.5789104512505
10733,1237.5789104512505
10734,1237.5789104512505
10735,1237.5789104512505
10736,1237.5789104512505
10737,1237.5789104512505
10738,1237.5789104512505
10739,1237.5789104512505
10740,1237.5789104512505
10741,1237.5789104512505
10742,1237.5789104512505
10743,1237.5789104512505
10744,1237.5789104512505
10745,1237.5789104512505
10746,1237.5789104512505
10747,1237.5789104512505
10748,1237.5789104512505
10749,1237.5789104512505
10750,1237.5789104512505
10751,1237.5789104512505
10752,1237.5789104512505
10753,1237.5789104512505
10754,1237.5789104512505
10755,1237.5789104512505
10756,1237.5789104512505
10757,1237.5789104512505
10758,1237.5789104512505
10759,1237.5789104512505
10760,1237.5789104512505
10761,1237.5789104512505
10762,1237.5789104512505
10763,1237.5789104512505
10764,1237.5789104512505
10765,1237.5789104512505
10766,1237.5789104512505
10767,1237.5789104512505
10768,1237.5789104512505
10769,1237.5789104512505
10770,1237.5789104512505
10771,1237.5789104512505
10772,1030.1252136949597
10773,1030.1252136949597
10774,1030.1252136949597
10775,1030.1252136949597
10776,1030.1252136949597
10777,1030.1252136949597
10778,1030.1252136949597
10779,1030.1252136949597
10780,1030.1252136949597
10781,1030.1252136949597
10782,1030.1252136949597
10783,1030.1252136949597
10784,1030.1252136949597
10785,1030.1252136949597
10786,1030.1252136949597
10787,1030.1252136949597
10788,1030.1252136949597
10789,1030.1252136949597
10790,1030.1252136949597
10791,1030.1252136949597
10792,1030.1252136949597
10793,1030.1252136949597
10794,1030.1252136949597
10795,1030.1252136949597
10796,1030.1252136949597
10797,1030.1252136949597
10798,1030.1252136949597
10799,1030.1252136949597
10800,1030.1252136949597
10801,1030.1252136949597
10802,1030.1252136949597
10803,1030.1252136949597
10804,1030.1252136949597
10805,1030.1252136949597
10806,1030.1252136949597
10807,1030.1252136949597
10808,1030.1252136949597
10809,1030.1252136949597
10810,1030.1252136949597
10811,1030.1252136949597
10812,1030.1252136949597
10813,1030.1252136949597
10814,1030.1252136949597
10815,1030.1252136949597
10816,1030.1252136949597
10817,1030.1252136949597
10818,1030.1252136949597
10819,1030.1252136949597
10820,1030.1252136949597
10821,1030.1252136949597
10822,1030.1252136949597
10823,1030.1252136949597
10824,1030.1252136949597
10825,1030.1252136949597
10826,1030.1252136949597
10827,1030.1252136949597
10828,1030.1252136949597
10829,1030.1252136949597
10830,1030.1252136949597
10831,1030.1252136949597
10832,1030.1252136949597
10833,1030.1252136949597
10834,1030.1252136949597
10835,1030.1252136949597
10836,1030.1252136949597
10837,1030.1252136949597
10838,1030.1252136949597
10839,1030.1252136949597
10840,1030.1252136949597
10841,1030.1252136949597
10842,1030.1252136949597
10843,1030.1252136949597
10844,1030.1252136949597
10845,1030.1252136949597
10846,1030.1252136949597
10847,1030.1252136949597
10848,1030.1252136949597
10849,1030.1252136949597
10850,1030.1252136949597
10851,1030.1252136949597
10852,1030.1252136949597
10853,1030.1252136949597
10854,1030.1252136949597
10855,1030.1252136949597
10856,1030.1252136949597
10857,1030.1252136949597
10858,1030.1252136949597
10859,1030.1252136949597
10860,1030.1252136949597
10861,1030.1252136949597
10862,1030.1252136949597
10863,1030.1252136949597
10864,972.4489795918364
