,USDMXN Curncy_ratio
10426,1002.5795564127285
10427,1002.5795564127285
10428,1002.5795564127285
10429,1002.5795564127285
10430,1002.5795564127285
10431,1002.5795564127285
10432,1002.5795564127285
10433,1002.5795564127285
10434,1002.5795564127285
10435,1002.5795564127285
10436,1002.5795564127285
10437,1002.5795564127285
10438,1002.5795564127285
10439,1002.5795564127285
10440,1002.5795564127285
10441,1002.5795564127285
10442,1002.5795564127285
10443,1002.5795564127285
10444,1002.5795564127285
10445,1002.5795564127285
10446,1002.5795564127285
10447,1002.5795564127285
10448,1002.5795564127285
10449,1002.5795564127285
10450,1002.5795564127285
10451,1002.5795564127285
10452,1002.5795564127285
10453,1002.5795564127285
10454,1002.5795564127285
10455,1002.5795564127285
10456,1002.5795564127285
10457,1002.5795564127285
10458,1002.5795564127285
10459,1002.5795564127285
10460,1002.5795564127285
10461,1002.5795564127285
10462,1002.5795564127285
10463,1002.5795564127285
10464,1002.5795564127285
10465,1002.5795564127285
10466,1002.5795564127285
10467,1002.5795564127285
10468,1002.5795564127285
10469,1002.5795564127285
10470,1002.5795564127285
10471,1002.5795564127285
10472,1002.5795564127285
10473,1002.5795564127285
10474,1002.5795564127285
10475,1002.5795564127285
10476,1002.5795564127285
10477,1002.5795564127285
10478,1002.5795564127285
10479,1002.5795564127285
10480,1002.5795564127285
10481,1002.5795564127285
10482,1002.5795564127285
10483,1002.5795564127285
10484,1002.5795564127285
10485,1002.5795564127285
10486,1002.5795564127285
10487,1002.5795564127285
10488,1002.5795564127285
10489,1002.5795564127285
10490,1002.5795564127285
10491,1002.5795564127285
10492,1002.5795564127285
10493,1002.5795564127285
10494,1002.5795564127285
10495,1002.5795564127285
10496,1002.5795564127285
10497,1002.5795564127285
10498,1002.5795564127285
10499,996.9080011416607
10500,996.9080011416607
10501,996.9080011416607
10502,996.9080011416607
10503,996.9080011416607
10504,996.9080011416607
10505,996.9080011416607
10506,996.9080011416607
10507,996.9080011416607
10508,996.9080011416607
10509,996.9080011416607
10510,996.9080011416607
10511,996.9080011416607
10512,996.9080011416607
10513,996.9080011416607
10514,996.9080011416607
10515,996.9080011416607
10516,996.9080011416607
10517,996.9080011416607
10518,996.9080011416607
10519,996.9080011416607
10520,996.9080011416607
10521,996.9080011416607
10522,996.9080011416607
10523,996.9080011416607
10524,996.9080011416607
10525,996.9080011416607
10526,996.9080011416607
10527,996.9080011416607
10528,996.9080011416607
10529,996.9080011416607
10530,996.9080011416607
10531,996.9080011416607
10532,996.9080011416607
10533,996.9080011416607
10534,996.9080011416607
10535,996.9080011416607
10536,996.9080011416607
10537,996.9080011416607
10538,996.9080011416607
10539,996.9080011416607
10540,996.9080011416607
10541,996.9080011416607
10542,996.9080011416607
10543,996.9080011416607
10544,996.9080011416607
10545,996.9080011416607
10546,996.9080011416607
10547,996.9080011416607
10548,996.9080011416607
10549,996.9080011416607
10550,996.9080011416607
10551,996.9080011416607
10552,996.9080011416607
10553,996.9080011416607
10554,996.9080011416607
10555,996.9080011416607
10556,996.9080011416607
10557,996.9080011416607
10558,996.9080011416607
10559,996.9080011416607
10560,996.9080011416607
10561,996.9080011416607
10562,996.9080011416607
10563,996.9080011416607
10564,996.9080011416607
10565,996.9080011416607
10566,996.9080011416607
10567,996.9080011416607
10568,996.9080011416607
10569,996.9080011416607
10570,996.9080011416607
10571,996.9080011416607
10572,996.9080011416607
10573,996.9080011416607
10574,996.9080011416607
10575,996.9080011416607
10576,996.9080011416607
10577,996.9080011416607
10578,996.9080011416607
10579,996.9080011416607
10580,996.9080011416607
10581,996.9080011416607
10582,996.9080011416607
10583,996.9080011416607
10584,996.9080011416607
10585,996.9080011416607
10586,996.9080011416607
10587,996.9080011416607
10588,996.9080011416607
10589,996.9080011416607
10590,996.9080011416607
10591,1001.7358294497201
10592,1001.7358294497201
10593,1001.7358294497201
10594,1001.7358294497201
10595,1001.7358294497201
10596,1001.7358294497201
10597,1001.7358294497201
10598,1001.7358294497201
10599,1001.7358294497201
10600,1001.7358294497201
10601,1001.7358294497201
10602,1001.7358294497201
10603,1001.7358294497201
10604,1001.7358294497201
10605,1001.7358294497201
10606,1001.7358294497201
10607,1001.7358294497201
10608,1001.7358294497201
10609,1001.7358294497201
10610,1001.7358294497201
10611,1001.7358294497201
10612,1001.7358294497201
10613,1001.7358294497201
10614,1001.7358294497201
10615,1001.7358294497201
10616,1001.7358294497201
10617,1001.7358294497201
10618,1001.7358294497201
10619,1001.7358294497201
10620,1001.7358294497201
10621,1001.7358294497201
10622,1001.7358294497201
10623,1001.7358294497201
10624,1001.7358294497201
10625,1001.7358294497201
10626,1001.7358294497201
10627,1001.7358294497201
10628,1001.7358294497201
10629,1001.7358294497201
10630,1001.7358294497201
10631,1001.7358294497201
10632,1001.7358294497201
10633,1001.7358294497201
10634,1001.7358294497201
10635,1001.7358294497201
10636,1001.7358294497201
10637,1001.7358294497201
10638,1001.7358294497201
10639,1001.7358294497201
10640,1001.7358294497201
10641,1001.7358294497201
10642,1001.7358294497201
10643,1001.7358294497201
10644,1001.7358294497201
10645,1001.7358294497201
10646,1001.7358294497201
10647,1001.7358294497201
10648,1001.7358294497201
10649,1001.7358294497201
10650,1001.7358294497201
10651,1001.7358294497201
10652,1001.7358294497201
10653,1001.7358294497201
10654,1001.7358294497201
10655,1001.7358294497201
10656,1001.7358294497201
10657,1001.7358294497201
10658,1001.7358294497201
10659,1001.7358294497201
10660,1001.7358294497201
10661,1001.7358294497201
10662,1001.7358294497201
10663,1001.7358294497201
10664,1001.7358294497201
10665,1001.7358294497201
10666,1001.7358294497201
10667,1001.7358294497201
10668,1001.7358294497201
10669,1001.7358294497201
10670,1001.7358294497201
10671,1001.7358294497201
10672,1001.7358294497201
10673,1001.7358294497201
10674,1001.7358294497201
10675,1001.7358294497201
10676,1001.7358294497201
10677,1001.7358294497201
10678,1001.7358294497201
10679,1001.7358294497201
10680,1001.7358294497201
10681,1001.3393141405995
10682,1001.3393141405995
10683,1001.3393141405995
10684,1001.3393141405995
10685,1001.3393141405995
10686,1001.3393141405995
10687,1001.3393141405995
10688,1001.3393141405995
10689,1001.3393141405995
10690,1001.3393141405995
10691,1001.3393141405995
10692,1001.3393141405995
10693,1001.3393141405995
10694,1001.3393141405995
10695,1001.3393141405995
10696,1001.3393141405995
10697,1001.3393141405995
10698,1001.3393141405995
10699,1001.3393141405995
10700,1001.3393141405995
10701,1001.3393141405995
10702,1001.3393141405995
10703,1001.3393141405995
10704,1001.3393141405995
10705,1001.3393141405995
10706,1001.3393141405995
10707,1001.3393141405995
10708,1001.3393141405995
10709,1001.3393141405995
10710,1001.3393141405995
10711,1001.3393141405995
10712,1001.3393141405995
