,CHPMINDX Index_ratio
10256,1085.8474964796799
10257,1085.8474964796799
10258,1085.8474964796799
10259,1085.8474964796799
10260,1085.8474964796799
10261,1085.8474964796799
10262,1085.8474964796799
10263,1085.8474964796799
10264,1085.8474964796799
10265,1085.8474964796799
10266,1085.8474964796799
10267,1085.8474964796799
10268,1085.8474964796799
10269,1085.8474964796799
10270,1085.8474964796799
10271,1085.8474964796799
10272,1085.8474964796799
10273,1085.8474964796799
10274,1085.8474964796799
10275,1085.8474964796799
10276,1085.8474964796799
10277,1085.8474964796799
10278,1085.8474964796799
10279,1085.8474964796799
10280,1085.8474964796799
10281,1085.8474964796799
10282,1085.8474964796799
10283,1085.8474964796799
10284,1085.8474964796799
10285,1085.8474964796799
10286,1085.8474964796799
10287,1085.8474964796799
10288,1085.8474964796799
10289,1085.8474964796799
10290,1085.8474964796799
10291,1085.8474964796799
10292,1085.8474964796799
10293,1085.8474964796799
10294,1085.8474964796799
10295,1085.8474964796799
10296,1085.8474964796799
10297,1085.8474964796799
10298,1085.8474964796799
10299,1085.8474964796799
10300,1085.8474964796799
10301,1085.8474964796799
10302,1085.8474964796799
10303,1085.8474964796799
10304,1085.8474964796799
10305,1085.8474964796799
10306,1085.8474964796799
10307,1085.8474964796799
10308,1085.8474964796799
10309,1085.8474964796799
10310,1085.8474964796799
10311,1085.8474964796799
10312,1085.8474964796799
10313,1085.8474964796799
10314,1085.8474964796799
10315,1085.8474964796799
10316,954.1785663310973
10317,954.1785663310973
10318,954.1785663310973
10319,954.1785663310973
10320,954.1785663310973
10321,954.1785663310973
10322,954.1785663310973
10323,954.1785663310973
10324,954.1785663310973
10325,954.1785663310973
10326,954.1785663310973
10327,954.1785663310973
10328,954.1785663310973
10329,954.1785663310973
10330,954.1785663310973
10331,954.1785663310973
10332,954.1785663310973
10333,954.1785663310973
10334,954.1785663310973
10335,954.1785663310973
10336,954.1785663310973
10337,954.1785663310973
10338,954.1785663310973
10339,954.1785663310973
10340,954.1785663310973
10341,954.1785663310973
10342,954.1785663310973
10343,954.1785663310973
10344,954.1785663310973
10345,954.1785663310973
10346,954.1785663310973
10347,954.1785663310973
10348,954.1785663310973
10349,954.1785663310973
10350,954.1785663310973
10351,954.1785663310973
10352,954.1785663310973
10353,954.1785663310973
10354,954.1785663310973
10355,954.1785663310973
10356,954.1785663310973
10357,954.1785663310973
10358,954.1785663310973
10359,954.1785663310973
10360,954.1785663310973
10361,954.1785663310973
10362,954.1785663310973
10363,954.1785663310973
10364,954.1785663310973
10365,954.1785663310973
10366,954.1785663310973
10367,954.1785663310973
10368,954.1785663310973
10369,954.1785663310973
10370,954.1785663310973
10371,954.1785663310973
10372,954.1785663310973
10373,954.1785663310973
10374,954.1785663310973
10375,954.1785663310973
10376,954.1785663310973
10377,954.1785663310973
10378,954.1785663310973
10379,954.1785663310973
10380,954.1785663310973
10381,954.1785663310973
10382,954.1785663310973
10383,954.1785663310973
10384,954.1785663310973
10385,954.1785663310973
10386,954.1785663310973
10387,954.1785663310973
10388,954.1785663310973
10389,954.1785663310973
10390,954.1785663310973
10391,954.1785663310973
10392,954.1785663310973
10393,954.1785663310973
10394,954.1785663310973
10395,954.1785663310973
10396,954.1785663310973
10397,954.1785663310973
10398,954.1785663310973
10399,954.1785663310973
10400,954.1785663310973
10401,954.1785663310973
10402,954.1785663310973
10403,954.1785663310973
10404,954.1785663310973
10405,954.1785663310973
10406,954.1785663310973
10407,1022.5186538587777
10408,1022.5186538587777
10409,1022.5186538587777
10410,1022.5186538587777
10411,1022.5186538587777
10412,1022.5186538587777
10413,1022.5186538587777
10414,1022.5186538587777
10415,1022.5186538587777
10416,1022.5186538587777
10417,1022.5186538587777
10418,1022.5186538587777
10419,1022.5186538587777
10420,1022.5186538587777
10421,1022.5186538587777
10422,1022.5186538587777
10423,1022.5186538587777
10424,1022.5186538587777
10425,1022.5186538587777
10426,1022.5186538587777
10427,1022.5186538587777
10428,1022.5186538587777
10429,1022.5186538587777
10430,1022.5186538587777
10431,1022.5186538587777
10432,1022.5186538587777
10433,1022.5186538587777
10434,1022.5186538587777
10435,1022.5186538587777
10436,1022.5186538587777
10437,1022.5186538587777
10438,1022.5186538587777
10439,1022.5186538587777
10440,1022.5186538587777
10441,1022.5186538587777
10442,1022.5186538587777
10443,1022.5186538587777
10444,1022.5186538587777
10445,1022.5186538587777
10446,1022.5186538587777
10447,1022.5186538587777
10448,1022.5186538587777
10449,1022.5186538587777
10450,1022.5186538587777
10451,1022.5186538587777
10452,1022.5186538587777
10453,1022.5186538587777
10454,1022.5186538587777
10455,1022.5186538587777
10456,1022.5186538587777
10457,1022.5186538587777
10458,1022.5186538587777
10459,1022.5186538587777
10460,1022.5186538587777
10461,1022.5186538587777
10462,1022.5186538587777
10463,1022.5186538587777
10464,1022.5186538587777
10465,1022.5186538587777
10466,1022.5186538587777
10467,1022.5186538587777
10468,1022.5186538587777
10469,1022.5186538587777
10470,1022.5186538587777
10471,1022.5186538587777
10472,1022.5186538587777
10473,1022.5186538587777
10474,1022.5186538587777
10475,1022.5186538587777
10476,1022.5186538587777
