,AUDUSD Curncy_ratio
10777,1017.496338339658
10778,1017.496338339658
10779,1017.496338339658
10780,1017.496338339658
10781,1017.496338339658
10782,1017.496338339658
10783,1017.496338339658
10784,1017.496338339658
10785,1017.496338339658
10786,1017.496338339658
10787,1017.496338339658
10788,1017.496338339658
10789,1017.496338339658
10790,1017.496338339658
10791,1017.496338339658
10792,1017.496338339658
10793,1017.496338339658
10794,1017.496338339658
10795,1017.496338339658
10796,1017.496338339658
10797,1017.496338339658
10798,1017.496338339658
10799,1017.496338339658
10800,1017.496338339658
10801,1017.496338339658
10802,1017.496338339658
10803,1017.496338339658
10804,1017.496338339658
10805,1017.496338339658
10806,1017.496338339658
10807,1017.496338339658
10808,1017.496338339658
10809,1017.496338339658
10810,1017.496338339658
10811,1017.496338339658
10812,1017.496338339658
10813,1017.496338339658
10814,1017.496338339658
10815,1017.496338339658
10816,1017.496338339658
10817,1017.496338339658
10818,1017.496338339658
10819,1017.496338339658
10820,1017.496338339658
10821,1017.496338339658
10822,1017.496338339658
10823,1017.496338339658
10824,1017.496338339658
10825,1017.496338339658
10826,1017.496338339658
10827,1017.496338339658
10828,1017.496338339658
10829,1017.496338339658
10830,1017.496338339658
10831,1017.496338339658
10832,1017.496338339658
10833,1017.496338339658
10834,1017.496338339658
10835,1017.496338339658
10836,1017.496338339658
10837,1017.496338339658
10838,1017.496338339658
10839,1017.496338339658
10840,1017.496338339658
10841,1017.496338339658
10842,1017.496338339658
10843,1017.496338339658
10844,1017.496338339658
10845,1017.496338339658
10846,1017.496338339658
10847,1017.496338339658
10848,1017.496338339658
10849,1017.496338339658
10850,1017.496338339658
10851,1017.496338339658
10852,1017.496338339658
10853,1017.496338339658
10854,1017.496338339658
10855,1017.496338339658
10856,1017.496338339658
10857,1017.496338339658
10858,1017.496338339658
10859,1017.496338339658
10860,1017.496338339658
10861,1017.496338339658
10862,1017.496338339658
10863,1017.496338339658
10864,978.5390390332493
10865,978.5390390332493
10866,978.5390390332493
10867,978.5390390332493
10868,978.5390390332493
10869,978.5390390332493
10870,978.5390390332493
10871,978.5390390332493
10872,978.5390390332493
10873,978.5390390332493
10874,978.5390390332493
10875,978.5390390332493
10876,978.5390390332493
10877,978.5390390332493
10878,978.5390390332493
10879,978.5390390332493
10880,978.5390390332493
10881,978.5390390332493
10882,978.5390390332493
10883,978.5390390332493
10884,978.5390390332493
10885,978.5390390332493
10886,978.5390390332493
10887,978.5390390332493
10888,978.5390390332493
10889,978.5390390332493
10890,978.5390390332493
10891,978.5390390332493
10892,978.5390390332493
10893,978.5390390332493
10894,978.5390390332493
10895,978.5390390332493
10896,978.5390390332493
10897,978.5390390332493
10898,978.5390390332493
10899,978.5390390332493
10900,978.5390390332493
10901,978.5390390332493
10902,978.5390390332493
10903,978.5390390332493
10904,978.5390390332493
10905,978.5390390332493
10906,978.5390390332493
10907,978.5390390332493
10908,978.5390390332493
10909,978.5390390332493
10910,978.5390390332493
10911,978.5390390332493
10912,978.5390390332493
10913,978.5390390332493
10914,978.5390390332493
10915,978.5390390332493
10916,978.5390390332493
10917,978.5390390332493
10918,978.5390390332493
10919,978.5390390332493
10920,978.5390390332493
10921,978.5390390332493
10922,978.5390390332493
10923,978.5390390332493
10924,978.5390390332493
10925,978.5390390332493
10926,978.5390390332493
10927,978.5390390332493
10928,978.5390390332493
10929,978.5390390332493
10930,978.5390390332493
10931,978.5390390332493
10932,978.5390390332493
10933,978.5390390332493
10934,978.5390390332493
10935,978.5390390332493
10936,978.5390390332493
10937,978.5390390332493
10938,978.5390390332493
10939,978.5390390332493
10940,978.5390390332493
10941,978.5390390332493
10942,978.5390390332493
10943,978.5390390332493
10944,978.5390390332493
10945,978.5390390332493
10946,978.5390390332493
10947,978.5390390332493
10948,978.5390390332493
10949,978.5390390332493
10950,978.5390390332493
10951,978.5390390332493
10952,978.5390390332493
10953,978.5390390332493
10954,978.5390390332493
10955,978.5390390332493
10956,998.432182657719
10957,998.432182657719
10958,998.432182657719
10959,998.432182657719
10960,998.432182657719
10961,998.432182657719
10962,998.432182657719
10963,998.432182657719
10964,998.432182657719
10965,998.432182657719
10966,998.432182657719
10967,998.432182657719
10968,998.432182657719
10969,998.432182657719
10970,998.432182657719
10971,998.432182657719
10972,998.432182657719
10973,998.432182657719
10974,998.432182657719
10975,998.432182657719
10976,998.432182657719
10977,998.432182657719
10978,998.432182657719
10979,998.432182657719
10980,998.432182657719
10981,998.432182657719
10982,998.432182657719
10983,998.432182657719
10984,998.432182657719
10985,998.432182657719
10986,998.432182657719
10987,998.432182657719
10988,998.432182657719
10989,998.432182657719
10990,998.432182657719
10991,998.432182657719
10992,998.432182657719
10993,998.432182657719
10994,998.432182657719
10995,998.432182657719
10996,998.432182657719
10997,998.432182657719
10998,998.432182657719
10999,998.432182657719
11000,998.432182657719
11001,998.432182657719
11002,998.432182657719
11003,998.432182657719
11004,998.432182657719
11005,998.432182657719
11006,998.432182657719
11007,998.432182657719
11008,998.432182657719
11009,998.432182657719
11010,998.432182657719
11011,998.432182657719
11012,998.432182657719
11013,998.432182657719
11014,998.432182657719
11015,998.432182657719
11016,998.432182657719
11017,998.432182657719
11018,998.432182657719
11019,998.432182657719
11020,998.432182657719
11021,998.432182657719
11022,998.432182657719
11023,998.432182657719
11024,998.432182657719
11025,998.432182657719
11026,998.432182657719
11027,998.432182657719
11028,998.432182657719
11029,998.432182657719
