,NHSLTOT Index_ratio
10507,1042.3729974921544
10508,1042.3729974921544
10509,1042.3729974921544
10510,1042.3729974921544
10511,1042.3729974921544
10512,1042.3729974921544
10513,1042.3729974921544
10514,1042.3729974921544
10515,1042.3729974921544
10516,1042.3729974921544
10517,1042.3729974921544
10518,1042.3729974921544
10519,1042.3729974921544
10520,1042.3729974921544
10521,1042.3729974921544
10522,1042.3729974921544
10523,1042.3729974921544
10524,1042.3729974921544
10525,1042.3729974921544
10526,1042.3729974921544
10527,1042.3729974921544
10528,1042.3729974921544
10529,1042.3729974921544
10530,1042.3729974921544
10531,1042.3729974921544
10532,1042.3729974921544
10533,1042.3729974921544
10534,1042.3729974921544
10535,1042.3729974921544
10536,1042.3729974921544
10537,1042.3729974921544
10538,1042.3729974921544
10539,1042.3729974921544
10540,1042.3729974921544
10541,1042.3729974921544
10542,1042.3729974921544
10543,1042.3729974921544
10544,1042.3729974921544
10545,1042.3729974921544
10546,1042.3729974921544
10547,1042.3729974921544
10548,1042.3729974921544
10549,1042.3729974921544
10550,1042.3729974921544
10551,1042.3729974921544
10552,1042.3729974921544
10553,1042.3729974921544
10554,1042.3729974921544
10555,1042.3729974921544
10556,1042.3729974921544
10557,1042.3729974921544
10558,1042.3729974921544
10559,1042.3729974921544
10560,1042.3729974921544
10561,1042.3729974921544
10562,1042.3729974921544
10563,1042.3729974921544
10564,1042.3729974921544
10565,1042.3729974921544
10566,1042.3729974921544
10567,1042.3729974921544
10568,1042.3729974921544
10569,1042.3729974921544
10570,1042.3729974921544
10571,1042.3729974921544
10572,1042.3729974921544
10573,1042.3729974921544
10574,1042.3729974921544
10575,1042.3729974921544
10576,1042.3729974921544
10577,1042.3729974921544
10578,1042.3729974921544
10579,1042.3729974921544
10580,1042.3729974921544
10581,1042.3729974921544
10582,1042.3729974921544
10583,1042.3729974921544
10584,1042.3729974921544
10585,1042.3729974921544
10586,1042.3729974921544
10587,1042.3729974921544
10588,1042.3729974921544
10589,1042.3729974921544
10590,1042.3729974921544
10591,920.1518624181418
10592,920.1518624181418
10593,920.1518624181418
10594,920.1518624181418
10595,920.1518624181418
10596,920.1518624181418
10597,920.1518624181418
10598,920.1518624181418
10599,920.1518624181418
10600,920.1518624181418
10601,920.1518624181418
10602,920.1518624181418
10603,920.1518624181418
10604,920.1518624181418
10605,920.1518624181418
10606,920.1518624181418
10607,920.1518624181418
10608,920.1518624181418
10609,920.1518624181418
10610,920.1518624181418
10611,920.1518624181418
10612,920.1518624181418
10613,920.1518624181418
10614,920.1518624181418
10615,920.1518624181418
10616,920.1518624181418
10617,920.1518624181418
10618,920.1518624181418
10619,920.1518624181418
10620,920.1518624181418
10621,920.1518624181418
10622,920.1518624181418
10623,920.1518624181418
10624,920.1518624181418
10625,920.1518624181418
10626,920.1518624181418
10627,920.1518624181418
10628,920.1518624181418
10629,920.1518624181418
10630,920.1518624181418
10631,920.1518624181418
10632,920.1518624181418
10633,920.1518624181418
10634,920.1518624181418
10635,920.1518624181418
10636,920.1518624181418
10637,920.1518624181418
10638,920.1518624181418
10639,920.1518624181418
10640,920.1518624181418
10641,920.1518624181418
10642,920.1518624181418
10643,920.1518624181418
10644,920.1518624181418
10645,920.1518624181418
10646,920.1518624181418
10647,920.1518624181418
10648,920.1518624181418
10649,920.1518624181418
10650,920.1518624181418
10651,920.1518624181418
10652,920.1518624181418
10653,920.1518624181418
10654,920.1518624181418
10655,920.1518624181418
10656,920.1518624181418
10657,920.1518624181418
10658,920.1518624181418
10659,920.1518624181418
10660,920.1518624181418
10661,920.1518624181418
10662,920.1518624181418
10663,920.1518624181418
10664,920.1518624181418
10665,920.1518624181418
10666,920.1518624181418
10667,920.1518624181418
10668,920.1518624181418
10669,920.1518624181418
10670,920.1518624181418
10671,920.1518624181418
10672,920.1518624181418
10673,920.1518624181418
10674,920.1518624181418
10675,920.1518624181418
10676,920.1518624181418
10677,920.1518624181418
10678,920.1518624181418
10679,920.1518624181418
10680,920.1518624181418
10681,992.2899732737905
10682,992.2899732737905
10683,992.2899732737905
10684,992.2899732737905
10685,992.2899732737905
10686,992.2899732737905
10687,992.2899732737905
10688,992.2899732737905
10689,992.2899732737905
10690,992.2899732737905
10691,992.2899732737905
10692,992.2899732737905
10693,992.2899732737905
10694,992.2899732737905
10695,992.2899732737905
10696,992.2899732737905
10697,992.2899732737905
10698,992.2899732737905
10699,992.2899732737905
10700,992.2899732737905
10701,992.2899732737905
10702,992.2899732737905
10703,992.2899732737905
10704,992.2899732737905
10705,992.2899732737905
10706,992.2899732737905
10707,992.2899732737905
10708,992.2899732737905
10709,992.2899732737905
10710,992.2899732737905
10711,992.2899732737905
10712,992.2899732737905
10713,992.2899732737905
10714,992.2899732737905
10715,992.2899732737905
10716,992.2899732737905
10717,992.2899732737905
10718,992.2899732737905
10719,992.2899732737905
10720,992.2899732737905
10721,992.2899732737905
10722,992.2899732737905
10723,992.2899732737905
10724,992.2899732737905
10725,992.2899732737905
10726,992.2899732737905
10727,992.2899732737905
10728,992.2899732737905
10729,992.2899732737905
10730,992.2899732737905
10731,992.2899732737905
10732,992.2899732737905
10733,992.2899732737905
10734,992.2899732737905
10735,992.2899732737905
10736,992.2899732737905
10737,992.2899732737905
10738,992.2899732737905
10739,992.2899732737905
10740,992.2899732737905
10741,992.2899732737905
10742,992.2899732737905
10743,992.2899732737905
10744,992.2899732737905
10745,992.2899732737905
10746,992.2899732737905
10747,992.2899732737905
10748,992.2899732737905
10749,992.2899732737905
10750,992.2899732737905
10751,992.2899732737905
10752,992.2899732737905
10753,992.2899732737905
10754,992.2899732737905
