,LEI CHNG Index_ratio
10967,506.71256454388987
10968,506.71256454388987
10969,506.71256454388987
10970,506.71256454388987
10971,506.71256454388987
10972,506.71256454388987
10973,506.71256454388987
10974,506.71256454388987
10975,506.71256454388987
10976,506.71256454388987
10977,506.71256454388987
10978,506.71256454388987
10979,506.71256454388987
10980,506.71256454388987
10981,506.71256454388987
10982,506.71256454388987
10983,506.71256454388987
10984,506.71256454388987
10985,506.71256454388987
10986,506.71256454388987
10987,506.71256454388987
10988,506.71256454388987
10989,506.71256454388987
10990,506.71256454388987
10991,506.71256454388987
10992,506.71256454388987
10993,506.71256454388987
10994,506.71256454388987
10995,506.71256454388987
10996,506.71256454388987
10997,506.71256454388987
10998,506.71256454388987
10999,506.71256454388987
11000,506.71256454388987
11001,506.71256454388987
11002,506.71256454388987
11003,506.71256454388987
11004,506.71256454388987
11005,506.71256454388987
11006,506.71256454388987
11007,506.71256454388987
11008,506.71256454388987
11009,506.71256454388987
11010,506.71256454388987
11011,506.71256454388987
11012,506.71256454388987
11013,506.71256454388987
11014,506.71256454388987
11015,506.71256454388987
11016,506.71256454388987
11017,506.71256454388987
11018,506.71256454388987
11019,506.71256454388987
11020,506.71256454388987
11021,506.71256454388987
11022,506.71256454388987
11023,506.71256454388987
11024,506.71256454388987
11025,506.71256454388987
11026,506.71256454388987
11027,506.71256454388987
11028,506.71256454388987
11029,506.71256454388987
11030,506.71256454388987
11031,506.71256454388987
11032,506.71256454388987
11033,506.71256454388987
11034,506.71256454388987
11035,506.71256454388987
11036,506.71256454388987
11037,506.71256454388987
11038,506.71256454388987
11039,506.71256454388987
11040,506.71256454388987
11041,506.71256454388987
11042,506.71256454388987
11043,506.71256454388987
11044,506.71256454388987
11045,506.71256454388987
11046,506.71256454388987
11047,4978.365384615384
11048,4978.365384615384
11049,4978.365384615384
11050,4978.365384615384
11051,4978.365384615384
11052,4978.365384615384
11053,4978.365384615384
11054,4978.365384615384
11055,4978.365384615384
11056,4978.365384615384
11057,4978.365384615384
11058,4978.365384615384
11059,4978.365384615384
11060,4978.365384615384
11061,4978.365384615384
11062,4978.365384615384
11063,4978.365384615384
11064,4978.365384615384
11065,4978.365384615384
11066,4978.365384615384
11067,4978.365384615384
11068,4978.365384615384
11069,4978.365384615384
11070,4978.365384615384
11071,4978.365384615384
11072,4978.365384615384
11073,4978.365384615384
11074,4978.365384615384
11075,4978.365384615384
11076,4978.365384615384
11077,4978.365384615384
11078,4978.365384615384
11079,4978.365384615384
11080,4978.365384615384
11081,4978.365384615384
11082,4978.365384615384
11083,4978.365384615384
11084,4978.365384615384
11085,4978.365384615384
11086,4978.365384615384
11087,4978.365384615384
11088,4978.365384615384
11089,4978.365384615384
11090,4978.365384615384
11091,4978.365384615384
11092,4978.365384615384
11093,4978.365384615384
11094,4978.365384615384
11095,4978.365384615384
11096,4978.365384615384
11097,4978.365384615384
11098,4978.365384615384
11099,4978.365384615384
11100,4978.365384615384
11101,4978.365384615384
11102,4978.365384615384
11103,4978.365384615384
11104,4978.365384615384
11105,4978.365384615384
11106,4978.365384615384
11107,4978.365384615384
11108,4978.365384615384
11109,4978.365384615384
11110,4978.365384615384
11111,4978.365384615384
11112,4978.365384615384
11113,4978.365384615384
11114,4978.365384615384
11115,4978.365384615384
11116,4978.365384615384
11117,4978.365384615384
11118,4978.365384615384
11119,4978.365384615384
11120,4978.365384615384
11121,4978.365384615384
11122,4978.365384615384
11123,4978.365384615384
11124,4978.365384615384
11125,4978.365384615384
11126,4978.365384615384
11127,4978.365384615384
11128,4978.365384615384
11129,4978.365384615384
11130,4978.365384615384
11131,4978.365384615384
11132,4978.365384615384
11133,4978.365384615384
11134,4978.365384615384
11135,4978.365384615384
11136,4978.365384615384
11137,4978.365384615384
11138,-295.16301723594984
11139,-295.16301723594984
11140,-295.16301723594984
11141,-295.16301723594984
11142,-295.16301723594984
11143,-295.16301723594984
11144,-295.16301723594984
11145,-295.16301723594984
11146,-295.16301723594984
11147,-295.16301723594984
11148,-295.16301723594984
11149,-295.16301723594984
11150,-295.16301723594984
11151,-295.16301723594984
11152,-295.16301723594984
11153,-295.16301723594984
11154,-295.16301723594984
11155,-295.16301723594984
11156,-295.16301723594984
11157,-295.16301723594984
11158,-295.16301723594984
11159,-295.16301723594984
11160,-295.16301723594984
11161,-295.16301723594984
11162,-295.16301723594984
11163,-295.16301723594984
11164,-295.16301723594984
11165,-295.16301723594984
11166,-295.16301723594984
11167,-295.16301723594984
11168,-295.16301723594984
11169,-295.16301723594984
11170,-295.16301723594984
11171,-295.16301723594984
11172,-295.16301723594984
11173,-295.16301723594984
11174,-295.16301723594984
11175,-295.16301723594984
11176,-295.16301723594984
11177,-295.16301723594984
11178,-295.16301723594984
11179,-295.16301723594984
11180,-295.16301723594984
11181,-295.16301723594984
11182,-295.16301723594984
11183,-295.16301723594984
11184,-295.16301723594984
11185,-295.16301723594984
11186,-295.16301723594984
11187,-295.16301723594984
11188,-295.16301723594984
11189,-295.16301723594984
11190,-295.16301723594984
11191,-295.16301723594984
11192,-295.16301723594984
11193,-295.16301723594984
11194,-295.16301723594984
11195,-295.16301723594984
11196,-295.16301723594984
11197,-295.16301723594984
11198,-295.16301723594984
11199,-295.16301723594984
11200,-295.16301723594984
11201,-295.16301723594984
11202,-295.16301723594984
11203,-295.16301723594984
11204,-295.16301723594984
11205,-295.16301723594984
11206,-295.16301723594984
11207,-295.16301723594984
11208,-295.16301723594984
11209,-295.16301723594984
11210,-295.16301723594984
11211,-295.16301723594984
11212,-295.16301723594984
11213,-295.16301723594984
11214,-295.16301723594984
11215,-295.16301723594984
11216,-295.16301723594984
11217,-295.16301723594984
11218,-295.16301723594984
11219,-295.16301723594984
11220,-295.16301723594984
11221,-295.16301723594984
11222,-295.16301723594984
11223,-295.16301723594984
11224,-295.16301723594984
11225,-295.16301723594984
11226,-295.16301723594984
11227,-295.16301723594984
11228,-295.16301723594984
11229,-295.16301723594984
11230,867.3139158576053
11231,867.3139158576053
11232,867.3139158576053
11233,867.3139158576053
11234,867.3139158576053
11235,867.3139158576053
11236,867.3139158576053
11237,867.3139158576053
11238,867.3139158576053
11239,867.3139158576053
11240,867.3139158576053
11241,867.3139158576053
11242,867.3139158576053
11243,867.3139158576053
11244,867.3139158576053
11245,867.3139158576053
11246,867.3139158576053
11247,867.3139158576053
11248,867.3139158576053
11249,867.3139158576053
11250,867.3139158576053
11251,867.3139158576053
11252,867.3139158576053
11253,867.3139158576053
11254,867.3139158576053
11255,867.3139158576053
11256,867.3139158576053
11257,867.3139158576053
11258,867.3139158576053
11259,867.3139158576053
11260,867.3139158576053
11261,867.3139158576053
11262,867.3139158576053
11263,867.3139158576053
11264,867.3139158576053
11265,867.3139158576053
11266,867.3139158576053
11267,867.3139158576053
11268,867.3139158576053
11269,867.3139158576053
11270,867.3139158576053
11271,867.3139158576053
11272,867.3139158576053
11273,867.3139158576053
11274,867.3139158576053
11275,867.3139158576053
11276,867.3139158576053
