,PCE DEFM Index_ratio
10585,1172.7447216890594
10586,1172.7447216890594
10587,1172.7447216890594
10588,1172.7447216890594
10589,1172.7447216890594
10590,1172.7447216890594
10591,851.5730132751411
10592,851.5730132751411
10593,851.5730132751411
10594,851.5730132751411
10595,851.5730132751411
10596,851.5730132751411
10597,851.5730132751411
10598,851.5730132751411
10599,851.5730132751411
10600,851.5730132751411
10601,851.5730132751411
10602,851.5730132751411
10603,851.5730132751411
10604,851.5730132751411
10605,851.5730132751411
10606,851.5730132751411
10607,851.5730132751411
10608,851.5730132751411
10609,851.5730132751411
10610,851.5730132751411
10611,851.5730132751411
10612,851.5730132751411
10613,851.5730132751411
10614,851.5730132751411
10615,851.5730132751411
10616,851.5730132751411
10617,851.5730132751411
10618,851.5730132751411
10619,851.5730132751411
10620,851.5730132751411
10621,851.5730132751411
10622,851.5730132751411
10623,851.5730132751411
10624,851.5730132751411
10625,851.5730132751411
10626,851.5730132751411
10627,851.5730132751411
10628,851.5730132751411
10629,851.5730132751411
10630,851.5730132751411
10631,851.5730132751411
10632,851.5730132751411
10633,851.5730132751411
10634,851.5730132751411
10635,851.5730132751411
10636,851.5730132751411
10637,851.5730132751411
10638,851.5730132751411
10639,851.5730132751411
10640,851.5730132751411
10641,851.5730132751411
10642,851.5730132751411
10643,851.5730132751411
10644,851.5730132751411
10645,851.5730132751411
10646,851.5730132751411
10647,851.5730132751411
10648,851.5730132751411
10649,851.5730132751411
10650,851.5730132751411
10651,851.5730132751411
10652,851.5730132751411
10653,851.5730132751411
10654,851.5730132751411
10655,851.5730132751411
10656,851.5730132751411
10657,851.5730132751411
10658,851.5730132751411
10659,851.5730132751411
10660,851.5730132751411
10661,851.5730132751411
10662,851.5730132751411
10663,851.5730132751411
10664,851.5730132751411
10665,851.5730132751411
10666,851.5730132751411
10667,851.5730132751411
10668,851.5730132751411
10669,851.5730132751411
10670,851.5730132751411
10671,851.5730132751411
10672,851.5730132751411
10673,851.5730132751411
10674,851.5730132751411
10675,851.5730132751411
10676,851.5730132751411
10677,851.5730132751411
10678,851.5730132751411
10679,851.5730132751411
10680,851.5730132751411
10681,1651.5900602344611
10682,1651.5900602344611
10683,1651.5900602344611
10684,1651.5900602344611
10685,1651.5900602344611
10686,1651.5900602344611
10687,1651.5900602344611
10688,1651.5900602344611
10689,1651.5900602344611
10690,1651.5900602344611
10691,1651.5900602344611
10692,1651.5900602344611
10693,1651.5900602344611
10694,1651.5900602344611
10695,1651.5900602344611
10696,1651.5900602344611
10697,1651.5900602344611
10698,1651.5900602344611
10699,1651.5900602344611
10700,1651.5900602344611
10701,1651.5900602344611
10702,1651.5900602344611
10703,1651.5900602344611
10704,1651.5900602344611
10705,1651.5900602344611
10706,1651.5900602344611
10707,1651.5900602344611
10708,1651.5900602344611
10709,1651.5900602344611
10710,1651.5900602344611
10711,1651.5900602344611
10712,1651.5900602344611
10713,1651.5900602344611
10714,1651.5900602344611
10715,1651.5900602344611
10716,1651.5900602344611
10717,1651.5900602344611
10718,1651.5900602344611
10719,1651.5900602344611
10720,1651.5900602344611
10721,1651.5900602344611
10722,1651.5900602344611
10723,1651.5900602344611
10724,1651.5900602344611
10725,1651.5900602344611
10726,1651.5900602344611
10727,1651.5900602344611
