,DGNOXTCH Index_ratio
10754,1095.5987018163187
10755,1095.5987018163187
10756,1095.5987018163187
10757,1095.5987018163187
10758,1095.5987018163187
10759,1095.5987018163187
10760,1095.5987018163187
10761,1095.5987018163187
10762,1095.5987018163187
10763,1095.5987018163187
10764,1095.5987018163187
10765,1095.5987018163187
10766,1095.5987018163187
10767,1095.5987018163187
10768,1095.5987018163187
10769,1095.5987018163187
10770,1095.5987018163187
10771,1095.5987018163187
10772,-129.54000081343807
10773,-129.54000081343807
10774,-129.54000081343807
10775,-129.54000081343807
10776,-129.54000081343807
10777,-129.54000081343807
10778,-129.54000081343807
10779,-129.54000081343807
10780,-129.54000081343807
10781,-129.54000081343807
10782,-129.54000081343807
10783,-129.54000081343807
10784,-129.54000081343807
10785,-129.54000081343807
10786,-129.54000081343807
10787,-129.54000081343807
10788,-129.54000081343807
10789,-129.54000081343807
10790,-129.54000081343807
10791,-129.54000081343807
10792,-129.54000081343807
10793,-129.54000081343807
10794,-129.54000081343807
10795,-129.54000081343807
10796,-129.54000081343807
10797,-129.54000081343807
10798,-129.54000081343807
10799,-129.54000081343807
10800,-129.54000081343807
10801,-129.54000081343807
10802,-129.54000081343807
10803,-129.54000081343807
10804,-129.54000081343807
10805,-129.54000081343807
10806,-129.54000081343807
10807,-129.54000081343807
10808,-129.54000081343807
10809,-129.54000081343807
10810,-129.54000081343807
10811,-129.54000081343807
10812,-129.54000081343807
10813,-129.54000081343807
10814,-129.54000081343807
10815,-129.54000081343807
10816,-129.54000081343807
10817,-129.54000081343807
10818,-129.54000081343807
10819,-129.54000081343807
10820,-129.54000081343807
10821,-129.54000081343807
10822,-129.54000081343807
10823,-129.54000081343807
10824,-129.54000081343807
10825,-129.54000081343807
10826,-129.54000081343807
10827,-129.54000081343807
10828,-129.54000081343807
10829,-129.54000081343807
10830,-129.54000081343807
10831,-129.54000081343807
10832,-129.54000081343807
10833,-129.54000081343807
10834,-129.54000081343807
10835,-129.54000081343807
10836,-129.54000081343807
10837,-129.54000081343807
10838,-129.54000081343807
10839,-129.54000081343807
10840,-129.54000081343807
10841,-129.54000081343807
10842,-129.54000081343807
10843,-129.54000081343807
10844,-129.54000081343807
10845,-129.54000081343807
10846,-129.54000081343807
10847,-129.54000081343807
10848,-129.54000081343807
10849,-129.54000081343807
10850,-129.54000081343807
10851,-129.54000081343807
10852,-129.54000081343807
10853,-129.54000081343807
10854,-129.54000081343807
10855,-129.54000081343807
10856,-129.54000081343807
10857,-129.54000081343807
10858,-129.54000081343807
10859,-129.54000081343807
10860,-129.54000081343807
10861,-129.54000081343807
10862,-129.54000081343807
10863,-129.54000081343807
10864,892.8571428571423
10865,892.8571428571423
10866,892.8571428571423
10867,892.8571428571423
10868,892.8571428571423
10869,892.8571428571423
10870,892.8571428571423
10871,892.8571428571423
10872,892.8571428571423
10873,892.8571428571423
10874,892.8571428571423
10875,892.8571428571423
10876,892.8571428571423
10877,892.8571428571423
10878,892.8571428571423
10879,892.8571428571423
10880,892.8571428571423
10881,892.8571428571423
10882,892.8571428571423
10883,892.8571428571423
10884,892.8571428571423
10885,892.8571428571423
10886,892.8571428571423
10887,892.8571428571423
10888,892.8571428571423
10889,892.8571428571423
10890,892.8571428571423
10891,892.8571428571423
10892,892.8571428571423
10893,892.8571428571423
10894,892.8571428571423
10895,892.8571428571423
10896,892.8571428571423
10897,892.8571428571423
10898,892.8571428571423
10899,892.8571428571423
10900,892.8571428571423
10901,892.8571428571423
10902,892.8571428571423
10903,892.8571428571423
10904,892.8571428571423
10905,892.8571428571423
10906,892.8571428571423
10907,892.8571428571423
10908,892.8571428571423
10909,892.8571428571423
10910,892.8571428571423
10911,892.8571428571423
10912,892.8571428571423
10913,892.8571428571423
10914,892.8571428571423
10915,892.8571428571423
10916,892.8571428571423
10917,892.8571428571423
10918,892.8571428571423
10919,892.8571428571423
10920,892.8571428571423
10921,892.8571428571423
10922,892.8571428571423
10923,892.8571428571423
10924,892.8571428571423
10925,892.8571428571423
10926,892.8571428571423
10927,892.8571428571423
10928,892.8571428571423
10929,892.8571428571423
10930,892.8571428571423
10931,892.8571428571423
10932,892.8571428571423
10933,892.8571428571423
10934,892.8571428571423
10935,892.8571428571423
10936,892.8571428571423
10937,892.8571428571423
10938,892.8571428571423
10939,892.8571428571423
10940,892.8571428571423
10941,892.8571428571423
10942,892.8571428571423
10943,892.8571428571423
10944,892.8571428571423
10945,892.8571428571423
10946,892.8571428571423
10947,892.8571428571423
10948,892.8571428571423
10949,892.8571428571423
10950,892.8571428571423
10951,892.8571428571423
10952,892.8571428571423
10953,892.8571428571423
10954,892.8571428571423
10955,892.8571428571423
10956,-21546.197802197803
10957,-21546.197802197803
10958,-21546.197802197803
10959,-21546.197802197803
10960,-21546.197802197803
10961,-21546.197802197803
10962,-21546.197802197803
10963,-21546.197802197803
10964,-21546.197802197803
10965,-21546.197802197803
10966,-21546.197802197803
10967,-21546.197802197803
10968,-21546.197802197803
10969,-21546.197802197803
10970,-21546.197802197803
10971,-21546.197802197803
10972,-21546.197802197803
10973,-21546.197802197803
10974,-21546.197802197803
10975,-21546.197802197803
10976,-21546.197802197803
10977,-21546.197802197803
10978,-21546.197802197803
10979,-21546.197802197803
10980,-21546.197802197803
10981,-21546.197802197803
10982,-21546.197802197803
10983,-21546.197802197803
10984,-21546.197802197803
10985,-21546.197802197803
10986,-21546.197802197803
10987,-21546.197802197803
10988,-21546.197802197803
10989,-21546.197802197803
10990,-21546.197802197803
10991,-21546.197802197803
10992,-21546.197802197803
10993,-21546.197802197803
10994,-21546.197802197803
10995,-21546.197802197803
10996,-21546.197802197803
10997,-21546.197802197803
10998,-21546.197802197803
10999,-21546.197802197803
11000,-21546.197802197803
11001,-21546.197802197803
11002,-21546.197802197803
11003,-21546.197802197803
11004,-21546.197802197803
11005,-21546.197802197803
11006,-21546.197802197803
11007,-21546.197802197803
11008,-21546.197802197803
11009,-21546.197802197803
11010,-21546.197802197803
11011,-21546.197802197803
11012,-21546.197802197803
11013,-21546.197802197803
11014,-21546.197802197803
11015,-21546.197802197803
11016,-21546.197802197803
11017,-21546.197802197803
11018,-21546.197802197803
11019,-21546.197802197803
11020,-21546.197802197803
11021,-21546.197802197803
11022,-21546.197802197803
11023,-21546.197802197803
11024,-21546.197802197803
11025,-21546.197802197803
11026,-21546.197802197803
11027,-21546.197802197803
11028,-21546.197802197803
11029,-21546.197802197803
11030,-21546.197802197803
11031,-21546.197802197803
11032,-21546.197802197803
11033,-21546.197802197803
11034,-21546.197802197803
11035,-21546.197802197803
11036,-21546.197802197803
11037,-21546.197802197803
11038,-21546.197802197803
11039,-21546.197802197803
11040,-21546.197802197803
11041,-21546.197802197803
11042,-21546.197802197803
11043,-21546.197802197803
11044,-21546.197802197803
11045,-21546.197802197803
11046,-21546.197802197803
11047,-2018.7687687687687
11048,-2018.7687687687687
11049,-2018.7687687687687
11050,-2018.7687687687687
11051,-2018.7687687687687
11052,-2018.7687687687687
11053,-2018.7687687687687
11054,-2018.7687687687687
11055,-2018.7687687687687
11056,-2018.7687687687687
11057,-2018.7687687687687
11058,-2018.7687687687687
11059,-2018.7687687687687
11060,-2018.7687687687687
11061,-2018.7687687687687
11062,-2018.7687687687687
11063,-2018.7687687687687
11064,-2018.7687687687687
11065,-2018.7687687687687
11066,-2018.7687687687687
11067,-2018.7687687687687
11068,-2018.7687687687687
11069,-2018.7687687687687
11070,-2018.7687687687687
11071,-2018.7687687687687
11072,-2018.7687687687687
11073,-2018.7687687687687
11074,-2018.7687687687687
11075,-2018.7687687687687
11076,-2018.7687687687687
11077,-2018.7687687687687
11078,-2018.7687687687687
11079,-2018.7687687687687
11080,-2018.7687687687687
11081,-2018.7687687687687
11082,-2018.7687687687687
11083,-2018.7687687687687
11084,-2018.7687687687687
11085,-2018.7687687687687
11086,-2018.7687687687687
11087,-2018.7687687687687
11088,-2018.7687687687687
11089,-2018.7687687687687
11090,-2018.7687687687687
11091,-2018.7687687687687
11092,-2018.7687687687687
11093,-2018.7687687687687
11094,-2018.7687687687687
11095,-2018.7687687687687
11096,-2018.7687687687687
11097,-2018.7687687687687
11098,-2018.7687687687687
11099,-2018.7687687687687
11100,-2018.7687687687687
11101,-2018.7687687687687
11102,-2018.7687687687687
11103,-2018.7687687687687
11104,-2018.7687687687687
11105,-2018.7687687687687
11106,-2018.7687687687687
11107,-2018.7687687687687
11108,-2018.7687687687687
11109,-2018.7687687687687
11110,-2018.7687687687687
11111,-2018.7687687687687
11112,-2018.7687687687687
11113,-2018.7687687687687
11114,-2018.7687687687687
11115,-2018.7687687687687
11116,-2018.7687687687687
11117,-2018.7687687687687
11118,-2018.7687687687687
11119,-2018.7687687687687
11120,-2018.7687687687687
11121,-2018.7687687687687
11122,-2018.7687687687687
11123,-2018.7687687687687
11124,-2018.7687687687687
11125,-2018.7687687687687
11126,-2018.7687687687687
11127,-2018.7687687687687
11128,-2018.7687687687687
11129,-2018.7687687687687
11130,-2018.7687687687687
11131,-2018.7687687687687
11132,-2018.7687687687687
11133,-2018.7687687687687
11134,-2018.7687687687687
11135,-2018.7687687687687
11136,-2018.7687687687687
11137,-2018.7687687687687
11138,-624.9656410173496
11139,-624.9656410173496
11140,-624.9656410173496
11141,-624.9656410173496
11142,-624.9656410173496
11143,-624.9656410173496
11144,-624.9656410173496
11145,-624.9656410173496
11146,-624.9656410173496
11147,-624.9656410173496
11148,-624.9656410173496
11149,-624.9656410173496
11150,-624.9656410173496
11151,-624.9656410173496
11152,-624.9656410173496
11153,-624.9656410173496
11154,-624.9656410173496
11155,-624.9656410173496
11156,-624.9656410173496
11157,-624.9656410173496
11158,-624.9656410173496
11159,-624.9656410173496
11160,-624.9656410173496
11161,-624.9656410173496
11162,-624.9656410173496
11163,-624.9656410173496
11164,-624.9656410173496
11165,-624.9656410173496
11166,-624.9656410173496
11167,-624.9656410173496
11168,-624.9656410173496
11169,-624.9656410173496
11170,-624.9656410173496
11171,-624.9656410173496
11172,-624.9656410173496
11173,-624.9656410173496
11174,-624.9656410173496
11175,-624.9656410173496
11176,-624.9656410173496
11177,-624.9656410173496
11178,-624.9656410173496
11179,-624.9656410173496
11180,-624.9656410173496
11181,-624.9656410173496
11182,-624.9656410173496
11183,-624.9656410173496
11184,-624.9656410173496
11185,-624.9656410173496
11186,-624.9656410173496
11187,-624.9656410173496
11188,-624.9656410173496
11189,-624.9656410173496
11190,-624.9656410173496
11191,-624.9656410173496
11192,-624.9656410173496
11193,-624.9656410173496
11194,-624.9656410173496
11195,-624.9656410173496
11196,-624.9656410173496
11197,-624.9656410173496
11198,-624.9656410173496
11199,-624.9656410173496
11200,-624.9656410173496
11201,-624.9656410173496
11202,-624.9656410173496
11203,-624.9656410173496
11204,-624.9656410173496
11205,-624.9656410173496
11206,-624.9656410173496
11207,-624.9656410173496
11208,-624.9656410173496
11209,-624.9656410173496
11210,-624.9656410173496
11211,-624.9656410173496
11212,-624.9656410173496
11213,-624.9656410173496
11214,-624.9656410173496
11215,-624.9656410173496
11216,-624.9656410173496
11217,-624.9656410173496
11218,-624.9656410173496
11219,-624.9656410173496
11220,-624.9656410173496
11221,-624.9656410173496
11222,-624.9656410173496
11223,-624.9656410173496
11224,-624.9656410173496
11225,-624.9656410173496
11226,-624.9656410173496
