,OUTFGAF Index_ratio
10726,31.855109339156737
10727,31.855109339156737
10728,31.855109339156737
10729,31.855109339156737
10730,31.855109339156737
10731,31.855109339156737
10732,31.855109339156737
10733,31.855109339156737
10734,31.855109339156737
10735,31.855109339156737
10736,31.855109339156737
10737,31.855109339156737
10738,31.855109339156737
10739,31.855109339156737
10740,31.855109339156737
10741,31.855109339156737
10742,31.855109339156737
10743,31.855109339156737
10744,31.855109339156737
10745,31.855109339156737
10746,31.855109339156737
10747,31.855109339156737
10748,31.855109339156737
10749,31.855109339156737
10750,31.855109339156737
10751,31.855109339156737
10752,31.855109339156737
10753,31.855109339156737
10754,31.855109339156737
10755,31.855109339156737
10756,31.855109339156737
10757,31.855109339156737
10758,31.855109339156737
10759,31.855109339156737
10760,31.855109339156737
10761,31.855109339156737
10762,31.855109339156737
10763,31.855109339156737
10764,31.855109339156737
10765,31.855109339156737
10766,31.855109339156737
10767,31.855109339156737
10768,31.855109339156737
10769,31.855109339156737
10770,31.855109339156737
10771,31.855109339156737
10772,-102048.4003281378
10773,-102048.4003281378
10774,-102048.4003281378
10775,-102048.4003281378
10776,-102048.4003281378
10777,-102048.4003281378
10778,-102048.4003281378
10779,-102048.4003281378
10780,-102048.4003281378
10781,-102048.4003281378
10782,-102048.4003281378
10783,-102048.4003281378
10784,-102048.4003281378
10785,-102048.4003281378
10786,-102048.4003281378
10787,-102048.4003281378
10788,-102048.4003281378
10789,-102048.4003281378
10790,-102048.4003281378
10791,-102048.4003281378
10792,-102048.4003281378
10793,-102048.4003281378
10794,-102048.4003281378
10795,-102048.4003281378
10796,-102048.4003281378
10797,-102048.4003281378
10798,-102048.4003281378
10799,-102048.4003281378
10800,-102048.4003281378
10801,-102048.4003281378
10802,-102048.4003281378
10803,-102048.4003281378
10804,-102048.4003281378
10805,-102048.4003281378
10806,-102048.4003281378
10807,-102048.4003281378
10808,-102048.4003281378
10809,-102048.4003281378
10810,-102048.4003281378
10811,-102048.4003281378
10812,-102048.4003281378
10813,-102048.4003281378
10814,-102048.4003281378
10815,-102048.4003281378
10816,-102048.4003281378
10817,-102048.4003281378
10818,-102048.4003281378
10819,-102048.4003281378
10820,-102048.4003281378
10821,-102048.4003281378
10822,-102048.4003281378
10823,-102048.4003281378
10824,-102048.4003281378
10825,-102048.4003281378
10826,-102048.4003281378
10827,-102048.4003281378
10828,-102048.4003281378
10829,-102048.4003281378
10830,-102048.4003281378
10831,-102048.4003281378
10832,-102048.4003281378
10833,-102048.4003281378
10834,-102048.4003281378
10835,-102048.4003281378
10836,-102048.4003281378
10837,-102048.4003281378
10838,-102048.4003281378
10839,-102048.4003281378
10840,-102048.4003281378
10841,-102048.4003281378
10842,-102048.4003281378
10843,-102048.4003281378
10844,-102048.4003281378
10845,-102048.4003281378
10846,-102048.4003281378
10847,-102048.4003281378
10848,-102048.4003281378
10849,-102048.4003281378
10850,-102048.4003281378
10851,-102048.4003281378
10852,-102048.4003281378
10853,-102048.4003281378
10854,-102048.4003281378
10855,-102048.4003281378
10856,-102048.4003281378
10857,-102048.4003281378
10858,-102048.4003281378
10859,-102048.4003281378
10860,-102048.4003281378
10861,-102048.4003281378
10862,-102048.4003281378
10863,-102048.4003281378
10864,2035.113386978786
10865,2035.113386978786
10866,2035.113386978786
10867,2035.113386978786
10868,2035.113386978786
10869,2035.113386978786
10870,2035.113386978786
10871,2035.113386978786
