,PCE CRCH Index_ratio
10640,1095.6494522691708
10641,1095.6494522691708
10642,1095.6494522691708
10643,1095.6494522691708
10644,1095.6494522691708
10645,1095.6494522691708
10646,1095.6494522691708
10647,1095.6494522691708
10648,1095.6494522691708
10649,1095.6494522691708
10650,1095.6494522691708
10651,1095.6494522691708
10652,1095.6494522691708
10653,1095.6494522691708
10654,1095.6494522691708
10655,1095.6494522691708
10656,1095.6494522691708
10657,1095.6494522691708
10658,1095.6494522691708
10659,1095.6494522691708
10660,1095.6494522691708
10661,1095.6494522691708
10662,1095.6494522691708
10663,1095.6494522691708
10664,1095.6494522691708
10665,1095.6494522691708
10666,1095.6494522691708
10667,1095.6494522691708
10668,1095.6494522691708
10669,1095.6494522691708
10670,1095.6494522691708
10671,1095.6494522691708
10672,1095.6494522691708
10673,1095.6494522691708
10674,1095.6494522691708
10675,1095.6494522691708
10676,1095.6494522691708
10677,1095.6494522691708
10678,1095.6494522691708
10679,1095.6494522691708
10680,1095.6494522691708
10681,1061.7897214480654
10682,1061.7897214480654
10683,1061.7897214480654
10684,1061.7897214480654
10685,1061.7897214480654
10686,1061.7897214480654
10687,1061.7897214480654
10688,1061.7897214480654
10689,1061.7897214480654
10690,1061.7897214480654
10691,1061.7897214480654
10692,1061.7897214480654
10693,1061.7897214480654
10694,1061.7897214480654
10695,1061.7897214480654
10696,1061.7897214480654
10697,1061.7897214480654
10698,1061.7897214480654
10699,1061.7897214480654
10700,1061.7897214480654
10701,1061.7897214480654
10702,1061.7897214480654
10703,1061.7897214480654
10704,1061.7897214480654
10705,1061.7897214480654
10706,1061.7897214480654
10707,1061.7897214480654
10708,1061.7897214480654
10709,1061.7897214480654
10710,1061.7897214480654
10711,1061.7897214480654
10712,1061.7897214480654
10713,1061.7897214480654
10714,1061.7897214480654
10715,1061.7897214480654
10716,1061.7897214480654
10717,1061.7897214480654
10718,1061.7897214480654
10719,1061.7897214480654
10720,1061.7897214480654
10721,1061.7897214480654
10722,1061.7897214480654
10723,1061.7897214480654
10724,1061.7897214480654
10725,1061.7897214480654
10726,1061.7897214480654
10727,1061.7897214480654
10728,1061.7897214480654
10729,1061.7897214480654
10730,1061.7897214480654
10731,1061.7897214480654
10732,1061.7897214480654
10733,1061.7897214480654
10734,1061.7897214480654
10735,1061.7897214480654
10736,1061.7897214480654
10737,1061.7897214480654
10738,1061.7897214480654
10739,1061.7897214480654
10740,1061.7897214480654
10741,1061.7897214480654
10742,1061.7897214480654
10743,1061.7897214480654
10744,1061.7897214480654
10745,1061.7897214480654
10746,1061.7897214480654
10747,1061.7897214480654
10748,1061.7897214480654
10749,1061.7897214480654
10750,1061.7897214480654
10751,1061.7897214480654
10752,1061.7897214480654
10753,1061.7897214480654
10754,1061.7897214480654
10755,1061.7897214480654
10756,1061.7897214480654
10757,1061.7897214480654
10758,1061.7897214480654
10759,1061.7897214480654
10760,1061.7897214480654
10761,1061.7897214480654
10762,1061.7897214480654
10763,1061.7897214480654
10764,1061.7897214480654
10765,1061.7897214480654
10766,1061.7897214480654
10767,1061.7897214480654
10768,1061.7897214480654
10769,1061.7897214480654
10770,1061.7897214480654
10771,1061.7897214480654
10772,1365.6537704220111
10773,1365.6537704220111
10774,1365.6537704220111
10775,1365.6537704220111
10776,1365.6537704220111
10777,1365.6537704220111
10778,1365.6537704220111
10779,1365.6537704220111
10780,1365.6537704220111
10781,1365.6537704220111
10782,1365.6537704220111
10783,1365.6537704220111
10784,1365.6537704220111
10785,1365.6537704220111
10786,1365.6537704220111
10787,1365.6537704220111
10788,1365.6537704220111
10789,1365.6537704220111
10790,1365.6537704220111
10791,1365.6537704220111
10792,1365.6537704220111
10793,1365.6537704220111
10794,1365.6537704220111
10795,1365.6537704220111
10796,1365.6537704220111
10797,1365.6537704220111
10798,1365.6537704220111
10799,1365.6537704220111
10800,1365.6537704220111
10801,1365.6537704220111
10802,1365.6537704220111
10803,1365.6537704220111
10804,1365.6537704220111
10805,1365.6537704220111
10806,1365.6537704220111
10807,1365.6537704220111
10808,1365.6537704220111
10809,1365.6537704220111
10810,1365.6537704220111
10811,1365.6537704220111
10812,1365.6537704220111
10813,1365.6537704220111
10814,1365.6537704220111
10815,1365.6537704220111
10816,1365.6537704220111
10817,1365.6537704220111
10818,1365.6537704220111
10819,1365.6537704220111
10820,1365.6537704220111
10821,1365.6537704220111
10822,1365.6537704220111
10823,1365.6537704220111
10824,1365.6537704220111
10825,1365.6537704220111
10826,1365.6537704220111
10827,1365.6537704220111
10828,1365.6537704220111
10829,1365.6537704220111
10830,1365.6537704220111
10831,1365.6537704220111
10832,1365.6537704220111
10833,1365.6537704220111
10834,1365.6537704220111
10835,1365.6537704220111
10836,1365.6537704220111
10837,1365.6537704220111
10838,1365.6537704220111
10839,1365.6537704220111
10840,1365.6537704220111
10841,1365.6537704220111
10842,1365.6537704220111
10843,1365.6537704220111
10844,1365.6537704220111
10845,1365.6537704220111
10846,1365.6537704220111
10847,1365.6537704220111
10848,1365.6537704220111
10849,1365.6537704220111
10850,1365.6537704220111
10851,1365.6537704220111
10852,1365.6537704220111
10853,1365.6537704220111
10854,1365.6537704220111
10855,1365.6537704220111
10856,1365.6537704220111
10857,1365.6537704220111
10858,1365.6537704220111
10859,1365.6537704220111
10860,1365.6537704220111
10861,1365.6537704220111
10862,1365.6537704220111
10863,1365.6537704220111
10864,704.787234042553
10865,704.787234042553
10866,704.787234042553
10867,704.787234042553
10868,704.787234042553
10869,704.787234042553
10870,704.787234042553
10871,704.787234042553
10872,704.787234042553
10873,704.787234042553
10874,704.787234042553
10875,704.787234042553
10876,704.787234042553
10877,704.787234042553
10878,704.787234042553
10879,704.787234042553
10880,704.787234042553
10881,704.787234042553
10882,704.787234042553
10883,704.787234042553
10884,704.787234042553
10885,704.787234042553
10886,704.787234042553
