,NAPMPMI Index_ratio
10492,1057.4249345366552
10493,1057.4249345366552
10494,1057.4249345366552
10495,1057.4249345366552
10496,1057.4249345366552
10497,1057.4249345366552
10498,1057.4249345366552
10499,993.7641420350279
10500,993.7641420350279
10501,993.7641420350279
10502,993.7641420350279
10503,993.7641420350279
10504,993.7641420350279
10505,993.7641420350279
10506,993.7641420350279
10507,993.7641420350279
10508,993.7641420350279
10509,993.7641420350279
10510,993.7641420350279
10511,993.7641420350279
10512,993.7641420350279
10513,993.7641420350279
10514,993.7641420350279
10515,993.7641420350279
10516,993.7641420350279
10517,993.7641420350279
10518,993.7641420350279
10519,993.7641420350279
10520,993.7641420350279
10521,993.7641420350279
10522,993.7641420350279
10523,993.7641420350279
10524,993.7641420350279
10525,993.7641420350279
10526,993.7641420350279
10527,993.7641420350279
10528,993.7641420350279
10529,993.7641420350279
10530,993.7641420350279
10531,993.7641420350279
10532,993.7641420350279
10533,993.7641420350279
10534,993.7641420350279
10535,993.7641420350279
10536,993.7641420350279
10537,993.7641420350279
10538,993.7641420350279
10539,993.7641420350279
10540,993.7641420350279
10541,993.7641420350279
10542,993.7641420350279
10543,993.7641420350279
10544,993.7641420350279
10545,993.7641420350279
10546,993.7641420350279
10547,993.7641420350279
10548,993.7641420350279
10549,993.7641420350279
10550,993.7641420350279
10551,993.7641420350279
10552,993.7641420350279
10553,993.7641420350279
10554,993.7641420350279
10555,993.7641420350279
10556,993.7641420350279
10557,993.7641420350279
10558,993.7641420350279
10559,993.7641420350279
10560,993.7641420350279
10561,993.7641420350279
10562,993.7641420350279
10563,993.7641420350279
10564,993.7641420350279
10565,993.7641420350279
10566,993.7641420350279
10567,993.7641420350279
10568,993.7641420350279
10569,993.7641420350279
10570,993.7641420350279
10571,993.7641420350279
10572,993.7641420350279
10573,993.7641420350279
10574,993.7641420350279
10575,993.7641420350279
10576,993.7641420350279
10577,993.7641420350279
10578,993.7641420350279
10579,993.7641420350279
10580,993.7641420350279
10581,993.7641420350279
10582,993.7641420350279
10583,993.7641420350279
10584,993.7641420350279
10585,993.7641420350279
10586,993.7641420350279
10587,993.7641420350279
10588,993.7641420350279
10589,993.7641420350279
10590,993.7641420350279
10591,968.0111077246098
10592,968.0111077246098
10593,968.0111077246098
10594,968.0111077246098
10595,968.0111077246098
10596,968.0111077246098
10597,968.0111077246098
10598,968.0111077246098
10599,968.0111077246098
10600,968.0111077246098
10601,968.0111077246098
10602,968.0111077246098
10603,968.0111077246098
10604,968.0111077246098
10605,968.0111077246098
10606,968.0111077246098
10607,968.0111077246098
10608,968.0111077246098
10609,968.0111077246098
10610,968.0111077246098
10611,968.0111077246098
10612,968.0111077246098
10613,968.0111077246098
10614,968.0111077246098
10615,968.0111077246098
10616,968.0111077246098
10617,968.0111077246098
10618,968.0111077246098
10619,968.0111077246098
10620,968.0111077246098
10621,968.0111077246098
10622,968.0111077246098
10623,968.0111077246098
10624,968.0111077246098
10625,968.0111077246098
10626,968.0111077246098
10627,968.0111077246098
10628,968.0111077246098
10629,968.0111077246098
10630,968.0111077246098
10631,968.0111077246098
10632,968.0111077246098
10633,968.0111077246098
10634,968.0111077246098
10635,968.0111077246098
10636,968.0111077246098
10637,968.0111077246098
10638,968.0111077246098
10639,968.0111077246098
10640,968.0111077246098
10641,968.0111077246098
10642,968.0111077246098
10643,968.0111077246098
10644,968.0111077246098
10645,968.0111077246098
10646,968.0111077246098
10647,968.0111077246098
10648,968.0111077246098
10649,968.0111077246098
10650,968.0111077246098
10651,968.0111077246098
10652,968.0111077246098
10653,968.0111077246098
10654,968.0111077246098
10655,968.0111077246098
10656,968.0111077246098
10657,968.0111077246098
10658,968.0111077246098
10659,968.0111077246098
10660,968.0111077246098
10661,968.0111077246098
10662,968.0111077246098
10663,968.0111077246098
10664,968.0111077246098
10665,968.0111077246098
10666,968.0111077246098
10667,968.0111077246098
10668,968.0111077246098
10669,968.0111077246098
10670,968.0111077246098
10671,968.0111077246098
10672,968.0111077246098
10673,968.0111077246098
10674,968.0111077246098
10675,968.0111077246098
10676,968.0111077246098
10677,968.0111077246098
10678,968.0111077246098
10679,968.0111077246098
10680,968.0111077246098
10681,954.988516661399
10682,954.988516661399
10683,954.988516661399
10684,954.988516661399
10685,954.988516661399
10686,954.988516661399
10687,954.988516661399
10688,954.988516661399
10689,954.988516661399
10690,954.988516661399
10691,954.988516661399
10692,954.988516661399
10693,954.988516661399
10694,954.988516661399
10695,954.988516661399
10696,954.988516661399
10697,954.988516661399
10698,954.988516661399
10699,954.988516661399
10700,954.988516661399
10701,954.988516661399
10702,954.988516661399
10703,954.988516661399
10704,954.988516661399
10705,954.988516661399
10706,954.988516661399
10707,954.988516661399
10708,954.988516661399
10709,954.988516661399
10710,954.988516661399
10711,954.988516661399
10712,954.988516661399
10713,954.988516661399
10714,954.988516661399
10715,954.988516661399
10716,954.988516661399
10717,954.988516661399
10718,954.988516661399
10719,954.988516661399
10720,954.988516661399
10721,954.988516661399
10722,954.988516661399
10723,954.988516661399
10724,954.988516661399
10725,954.988516661399
10726,954.988516661399
10727,954.988516661399
10728,954.988516661399
10729,954.988516661399
10730,954.988516661399
10731,954.988516661399
10732,954.988516661399
10733,954.988516661399
10734,954.988516661399
10735,954.988516661399
10736,954.988516661399
10737,954.988516661399
10738,954.988516661399
10739,954.988516661399
10740,954.988516661399
10741,954.988516661399
10742,954.988516661399
10743,954.988516661399
10744,954.988516661399
10745,954.988516661399
10746,954.988516661399
10747,954.988516661399
10748,954.988516661399
10749,954.988516661399
10750,954.988516661399
10751,954.988516661399
10752,954.988516661399
10753,954.988516661399
10754,954.988516661399
10755,954.988516661399
10756,954.988516661399
10757,954.988516661399
10758,954.988516661399
10759,954.988516661399
10760,954.988516661399
10761,954.988516661399
10762,954.988516661399
10763,954.988516661399
10764,954.988516661399
10765,954.988516661399
10766,954.988516661399
10767,954.988516661399
10768,954.988516661399
10769,954.988516661399
10770,954.988516661399
10771,954.988516661399
10772,912.6600747114782
10773,912.6600747114782
10774,912.6600747114782
10775,912.6600747114782
10776,912.6600747114782
10777,912.6600747114782
10778,912.6600747114782
10779,912.6600747114782
10780,912.6600747114782
10781,912.6600747114782
10782,912.6600747114782
10783,912.6600747114782
10784,912.6600747114782
10785,912.6600747114782
10786,912.6600747114782
10787,912.6600747114782
10788,912.6600747114782
10789,912.6600747114782
10790,912.6600747114782
10791,912.6600747114782
10792,912.6600747114782
10793,912.6600747114782
10794,912.6600747114782
10795,912.6600747114782
10796,912.6600747114782
10797,912.6600747114782
10798,912.6600747114782
10799,912.6600747114782
10800,912.6600747114782
10801,912.6600747114782
10802,912.6600747114782
10803,912.6600747114782
10804,912.6600747114782
10805,912.6600747114782
10806,912.6600747114782
10807,912.6600747114782
10808,912.6600747114782
10809,912.6600747114782
10810,912.6600747114782
10811,912.6600747114782
10812,912.6600747114782
10813,912.6600747114782
10814,912.6600747114782
10815,912.6600747114782
10816,912.6600747114782
10817,912.6600747114782
10818,912.6600747114782
10819,912.6600747114782
10820,912.6600747114782
10821,912.6600747114782
10822,912.6600747114782
10823,912.6600747114782
10824,912.6600747114782
10825,912.6600747114782
10826,912.6600747114782
10827,912.6600747114782
10828,912.6600747114782
10829,912.6600747114782
10830,912.6600747114782
10831,912.6600747114782
10832,912.6600747114782
10833,912.6600747114782
10834,912.6600747114782
10835,912.6600747114782
10836,912.6600747114782
10837,912.6600747114782
10838,912.6600747114782
10839,912.6600747114782
10840,912.6600747114782
10841,912.6600747114782
10842,912.6600747114782
10843,912.6600747114782
10844,912.6600747114782
10845,912.6600747114782
10846,912.6600747114782
10847,912.6600747114782
10848,912.6600747114782
10849,912.6600747114782
10850,912.6600747114782
10851,912.6600747114782
10852,912.6600747114782
10853,912.6600747114782
10854,912.6600747114782
10855,912.6600747114782
10856,912.6600747114782
10857,912.6600747114782
