,CPUPXCHG Index_ratio
10390,1185.2587491094364
10391,1185.2587491094364
10392,1185.2587491094364
10393,1185.2587491094364
10394,1185.2587491094364
10395,1185.2587491094364
10396,1185.2587491094364
10397,1185.2587491094364
10398,1185.2587491094364
10399,1185.2587491094364
10400,1185.2587491094364
10401,1185.2587491094364
10402,1185.2587491094364
10403,1185.2587491094364
10404,1185.2587491094364
10405,1185.2587491094364
10406,1185.2587491094364
10407,1094.529579472559
10408,1094.529579472559
10409,1094.529579472559
10410,1094.529579472559
10411,1094.529579472559
10412,1094.529579472559
10413,1094.529579472559
10414,1094.529579472559
10415,1094.529579472559
10416,1094.529579472559
10417,1094.529579472559
10418,1094.529579472559
10419,1094.529579472559
10420,1094.529579472559
10421,1094.529579472559
10422,1094.529579472559
10423,1094.529579472559
10424,1094.529579472559
10425,1094.529579472559
10426,1094.529579472559
10427,1094.529579472559
10428,1094.529579472559
10429,1094.529579472559
10430,1094.529579472559
10431,1094.529579472559
10432,1094.529579472559
10433,1094.529579472559
10434,1094.529579472559
10435,1094.529579472559
10436,1094.529579472559
10437,1094.529579472559
10438,1094.529579472559
10439,1094.529579472559
10440,1094.529579472559
10441,1094.529579472559
10442,1094.529579472559
10443,1094.529579472559
10444,1094.529579472559
10445,1094.529579472559
10446,1094.529579472559
10447,1094.529579472559
10448,1094.529579472559
10449,1094.529579472559
10450,1094.529579472559
10451,1094.529579472559
10452,1094.529579472559
10453,1094.529579472559
10454,1094.529579472559
10455,1094.529579472559
10456,1094.529579472559
10457,1094.529579472559
10458,1094.529579472559
10459,1094.529579472559
10460,1094.529579472559
10461,1094.529579472559
10462,1094.529579472559
10463,1094.529579472559
10464,1094.529579472559
10465,1094.529579472559
10466,1094.529579472559
10467,1094.529579472559
10468,1094.529579472559
10469,1094.529579472559
10470,1094.529579472559
10471,1094.529579472559
10472,1094.529579472559
10473,1094.529579472559
10474,1094.529579472559
10475,1094.529579472559
10476,1094.529579472559
10477,1094.529579472559
10478,1094.529579472559
10479,1094.529579472559
10480,1094.529579472559
10481,1094.529579472559
10482,1094.529579472559
10483,1094.529579472559
10484,1094.529579472559
10485,1094.529579472559
10486,1094.529579472559
10487,1094.529579472559
10488,1094.529579472559
10489,1094.529579472559
10490,1094.529579472559
10491,1094.529579472559
10492,1094.529579472559
10493,1094.529579472559
10494,1094.529579472559
10495,1094.529579472559
10496,1094.529579472559
